train_index,kind,detail
1479,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1480,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1543,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1582,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
1595,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1627,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1632,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1647,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1648,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
1656,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
1672,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1675,invalid_extraction,Segment 1 range 2:3 breaks partition at 3
1678,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1684,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1716,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1734,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
1759,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1816,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
1827,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1834,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1836,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
1852,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1877,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1906,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1908,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1913,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1924,invalid_extraction,"Segments stop at 7, plan has 8 timesteps"
1925,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1938,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1996,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1999,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2027,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2028,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2043,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2057,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2080,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2081,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2095,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2104,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2109,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
2124,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
2132,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
2137,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2149,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
2159,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2163,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
2166,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2194,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2211,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2234,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2249,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2259,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2286,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2296,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2311,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2335,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2351,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2360,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2368,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2388,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2432,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2441,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2442,invalid_extraction,"Segment 1 fields are ['description', 'end_step:', 'name', 'start_step'], expected ['description', 'end_step', 'name', 'start_step']"
2443,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2447,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2450,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
2451,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2466,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2478,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2489,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
2494,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
2504,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2520,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2528,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2542,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2577,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2593,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2637,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2645,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2661,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
2670,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2687,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2709,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2715,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2765,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
2771,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2778,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2849,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2870,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2914,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2926,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2955,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
2969,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
2980,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
2983,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
2990,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
2996,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3051,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
3052,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3053,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3054,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
3060,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3076,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3082,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
3086,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3110,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3113,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
3121,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3124,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3126,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3135,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3161,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
3206,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3209,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3212,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3218,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
3231,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3276,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3305,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3326,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3328,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3333,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3347,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3359,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3374,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3400,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3431,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3432,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
3446,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
3459,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
3474,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3483,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
3526,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3537,invalid_extraction,"Segments stop at 6, plan has 7 timesteps"
3557,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3585,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3601,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3626,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3680,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3689,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3695,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3699,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3703,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3708,invalid_extraction,Segment 1 range 2:3 breaks partition at 3
3718,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3724,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3738,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3739,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3742,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
3746,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3756,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3767,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
3785,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3788,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3825,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3826,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
3831,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
3848,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3858,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3868,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3892,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3895,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3912,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
3916,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3918,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
3927,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3931,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
3951,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3957,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3960,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3962,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3969,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
3978,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
3980,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
3990,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
3999,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4010,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4023,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4044,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4092,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4104,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4107,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
4109,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4119,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
4149,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4195,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4198,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4227,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4234,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
4254,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
4261,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
4273,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4289,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
4294,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
4319,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4323,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4327,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4370,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4388,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
4392,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4424,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4426,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4427,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4432,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4444,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4458,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
4471,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4494,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4497,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4520,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4522,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4547,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4548,invalid_extraction,Segment 1 range 2:3 breaks partition at 3
4551,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
4562,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4563,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
4589,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4592,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4608,invalid_extraction,"Segments stop at 7, plan has 8 timesteps"
4614,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4625,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4640,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4658,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4664,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
4671,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4682,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
4697,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4717,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4718,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4721,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
4731,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4736,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4745,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4750,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4766,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4774,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4783,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4798,invalid_extraction,Segment 1 range 2:3 breaks partition at 3
4801,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4829,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4830,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4845,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4901,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4920,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4929,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4974,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
4980,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
4999,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5004,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5017,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5032,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5033,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
5047,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5049,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5064,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5079,invalid_extraction,"Segments stop at 7, plan has 8 timesteps"
5080,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5111,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5124,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5141,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5143,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
5152,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5154,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5166,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
5187,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5191,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5193,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5199,invalid_extraction,Segment 1 range 2:3 breaks partition at 3
5246,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5272,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5275,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5284,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5294,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5304,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5305,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5313,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5322,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
5348,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5352,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5356,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
5364,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5376,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
5378,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5385,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5388,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5393,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5414,invalid_extraction,Segment 1 range 2:3 breaks partition at 3
5433,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5436,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5461,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5495,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5504,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5529,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5533,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
5539,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
5550,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5572,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5579,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5582,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
5589,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
5592,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5609,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
5618,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5626,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5636,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
5653,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5654,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5662,invalid_extraction,"Segments stop at 6, plan has 7 timesteps"
5681,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
5706,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5715,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5721,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5729,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5769,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5789,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5790,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5791,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5814,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
5817,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5820,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5839,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
5864,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5865,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5890,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5899,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
5920,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
5925,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
5928,invalid_extraction,Segment 1 range 2:3 breaks partition at 3
6017,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
6027,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
6051,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
6069,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
6075,invalid_extraction,Segment 1 range 1:2 breaks partition at 2
6084,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
6091,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
6151,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
6161,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
