family,episodes_in_induction_half,effect_key,effect_instance,episodes_with_effect
single_move_asset_to_target,430,pos.name,pos.name(pear -> kitchen work area),6
single_move_asset_to_target,430,pos.name,pos.name(bread -> kitchen work area),6
single_move_asset_to_target,430,pos.name,pos.name(peach -> rack),6
single_move_asset_to_target,430,pos.name,pos.name(meat -> kitchen work area),6
single_move_asset_to_target,430,pos.name,pos.name(pumpkin -> kitchen work area),6
single_move_asset_to_target,430,pos.name,pos.name(apple -> kitchen work area),6
single_move_asset_to_target,430,pos.name,pos.name(wine -> kitchen work area),6
single_move_asset_to_target,430,pos.name,pos.name(kettle -> kitchen island area),5
single_move_asset_to_target,430,pos.name,pos.name(pumpkin -> rack),5
single_move_asset_to_target,430,pos.name,pos.name(cooling fan -> kitchen work area),5
single_move_asset_to_target,430,pos.name,pos.name(cup -> rack),4
single_move_asset_to_target,430,pos.name,pos.name(cooling fan -> rack),4
single_move_asset_to_target,430,pos.name,pos.name(cardboardbox -> rack),4
single_move_asset_to_target,430,pos.name,pos.name(banana -> rack),4
single_move_asset_to_target,430,pos.name,pos.name(apple -> rack),4
single_move_asset_to_target,430,pos.name,pos.name(meat -> kitchen island area),4
single_move_asset_to_target,430,pos.name,pos.name(spoon -> rack),3
single_move_asset_to_target,430,pos.name,pos.name(scissors -> rack),3
single_move_asset_to_target,430,pos.name,pos.name(wine -> rack),3
single_move_asset_to_target,430,pos.name,pos.name(bottle -> rack),3
single_move_asset_to_target,430,pos.name,pos.name(pizza -> rack),3
single_move_asset_to_target,430,pos.name,pos.name(plate -> rack),2
single_move_asset_to_target,430,pos.name,pos.name(tomato -> rack),1
toast_bread_and_set_plate,191,is_activated,is_activated(toaster),191
toast_bread_and_set_plate,191,pos.name,pos.name(bread -> toaster),191
toast_bread_and_set_plate,191,pos.name,pos.name(plate -> kitchen work area),55
toast_bread_and_set_plate,191,pos.name,pos.name(bowl -> kitchen work area),47
toast_bread_and_set_plate,191,pos.name,pos.name(bowl -> kitchen island area),46
toast_bread_and_set_plate,191,pos.name,pos.name(plate -> kitchen island area),43
wash_fruit_and_serve,315,is_activated,is_activated(sink),315
wash_fruit_and_serve,315,pos.name,pos.name(apple -> sink),71
wash_fruit_and_serve,315,pos.name,pos.name(banana -> sink),69
wash_fruit_and_serve,315,pos.name,pos.name(tomato -> sink),67
wash_fruit_and_serve,315,pos.name,pos.name(pear -> sink),55
wash_fruit_and_serve,315,pos.name,pos.name(peach -> sink),53
wash_fruit_and_serve,315,pos.name,pos.name(apple -> plate),37
wash_fruit_and_serve,315,pos.name,pos.name(tomato -> plate),36
wash_fruit_and_serve,315,pos.name,pos.name(banana -> plate),36
wash_fruit_and_serve,315,pos.name,pos.name(apple -> bowl),34
wash_fruit_and_serve,315,pos.name,pos.name(banana -> bowl),33
wash_fruit_and_serve,315,pos.name,pos.name(tomato -> bowl),31
wash_fruit_and_serve,315,pos.name,pos.name(peach -> plate),30
wash_fruit_and_serve,315,pos.name,pos.name(pear -> bowl),28
wash_fruit_and_serve,315,pos.name,pos.name(pear -> plate),27
wash_fruit_and_serve,315,pos.name,pos.name(peach -> bowl),23
