episode_id,fold,seed,cond,status,success,completion,conflict,failpick,selfconf,selfconf_literal,notclose,actions
1778,A,0,both,ok,0.0,0.42857142857142855,0,0,0,0,0,84
1779,A,0,both,ok,0.0,0.42857142857142855,0,7,1,13,10,88
1803,A,0,both,ok,1.0,1.0,0,2,0,11,5,79
1804,A,0,both,ok,0.0,0.5,0,5,0,11,7,97
1806,A,0,both,ok,1.0,1.0,0,3,2,14,4,55
1807,A,0,both,ok,0.0,0.0,0,7,0,13,9,85
1808,A,0,both,ok,1.0,1.0,0,5,0,14,8,82
1809,A,0,both,ok,0.0,0.0,0,0,0,0,0,43
1811,A,0,both,ok,0.0,0.6666666666666666,0,1,0,4,1,57
1831,A,0,both,ok,0.0,0.5,1,7,0,9,6,87
1835,A,0,both,ok,0.0,0.25,0,2,0,0,1,42
1838,A,0,both,ok,0.0,0.75,0,15,1,7,14,76
1839,A,0,both,ok,1.0,1.0,0,4,0,7,9,70
1840,A,0,both,ok,0.0,0.3333333333333333,0,5,0,8,12,80
1841,A,0,both,ok,0.0,0.6,0,4,1,10,4,88
1842,A,0,both,ok,0.0,0.25,0,15,3,15,17,95
1843,A,0,both,ok,0.0,0.25,0,4,0,3,7,83
1844,A,0,both,ok,0.0,0.6,0,3,1,9,4,95
1849,A,0,both,ok,1.0,1.0,0,5,4,12,6,77
1850,A,0,both,ok,1.0,1.0,0,8,0,15,11,95
1854,A,0,both,ok,0.0,0.21428571428571427,0,8,0,8,13,73
1857,A,0,both,ok,0.0,0.45454545454545453,0,3,0,7,2,76
1859,A,0,both,ok,0.0,0.18181818181818182,0,6,0,6,9,77
1875,A,0,both,ok,1.0,1.0,0,7,0,10,7,67
1876,A,0,both,ok,0.0,0.375,2,8,2,15,15,92
1907,A,0,both,ok,0.0,0.8333333333333334,0,3,1,6,3,65
1932,A,0,both,ok,0.0,0.6,0,3,0,13,4,99
1933,A,0,both,ok,0.0,0.25,0,12,1,8,16,82
1934,A,0,both,ok,0.0,0.25,0,7,0,15,12,89
1935,A,0,both,ok,0.0,0.0,0,5,1,13,6,99
1945,A,0,both,ok,1.0,1.0,0,6,1,7,8,66
1947,A,0,both,ok,0.0,0.6666666666666666,0,3,0,11,3,90
1948,A,0,both,ok,0.0,0.3333333333333333,0,13,0,4,15,101
1954,A,0,both,ok,0.0,0.25,0,8,3,14,5,67
1956,A,0,both,ok,0.0,0.75,3,11,0,14,16,83
1958,A,0,both,ok,1.0,1.0,0,11,0,4,12,78
1960,A,0,both,ok,0.0,0.5,0,0,0,0,0,92
1962,A,0,both,ok,0.0,0.25,0,1,0,12,6,66
1963,A,0,both,ok,0.0,0.0,0,4,0,8,8,102
1964,A,0,both,ok,0.0,0.75,0,4,0,11,8,94
1965,A,0,both,ok,0.0,0.75,0,12,0,13,11,83
1971,A,0,both,ok,1.0,1.0,0,3,0,5,2,71
1974,A,0,both,ok,0.0,0.3333333333333333,0,1,0,8,7,61
1975,A,0,both,ok,0.0,0.0,0,0,0,3,0,99
1978,A,0,both,ok,1.0,1.0,0,1,0,6,1,51
1981,A,0,both,ok,0.0,0.0,0,8,2,16,13,83
1982,A,0,both,ok,0.0,0.75,0,5,1,9,8,57
1983,A,0,both,ok,1.0,1.0,0,7,4,17,9,60
1984,A,0,both,ok,0.0,0.6666666666666666,0,15,1,4,14,79
1987,A,0,both,ok,0.0,0.38461538461538464,0,2,0,7,5,58
1988,A,0,both,ok,0.0,0.13333333333333333,0,2,0,2,1,88
1989,A,0,both,ok,0.0,0.058823529411764705,0,7,2,10,7,64
1990,A,0,both,ok,0.0,0.0,0,4,0,9,7,101
1991,A,0,both,ok,0.0,0.6,0,9,1,10,13,82
1993,A,0,both,ok,0.0,0.5,0,7,2,5,5,90
1995,A,0,both,ok,0.0,0.2,0,9,1,8,7,92
1997,A,0,both,ok,1.0,1.0,0,4,0,12,6,67
1999,A,0,both,ok,0.0,0.5,0,6,0,8,5,75
433,B,0,both,ok,0.0,0.16666666666666666,0,4,0,12,6,62
436,B,0,both,ok,0.0,0.6666666666666666,0,3,0,4,3,70
438,B,0,both,ok,0.0,0.2,0,3,0,0,1,50
439,B,0,both,ok,0.0,0.0,2,1,0,1,0,45
442,B,0,both,ok,0.0,0.5,0,1,0,4,2,48
443,B,0,both,ok,0.0,0.25,0,6,1,10,7,70
445,B,0,both,ok,0.0,0.6666666666666666,0,0,0,8,4,64
446,B,0,both,ok,0.0,0.75,0,2,2,13,6,60
447,B,0,both,ok,0.0,0.3333333333333333,0,1,0,4,5,46
448,B,0,both,ok,0.0,0.6666666666666666,0,1,0,5,3,74
449,B,0,both,ok,0.0,0.5,0,4,0,5,4,59
452,B,0,both,ok,0.0,0.5,0,5,1,4,9,65
454,B,0,both,ok,0.0,0.0,0,3,0,2,4,54
455,B,0,both,ok,0.0,0.5,0,4,1,4,5,61
458,B,0,both,ok,0.0,0.4444444444444444,0,9,1,10,11,85
1623,B,0,both,ok,1.0,1.0,0,9,1,13,9,86
1637,B,0,both,ok,0.0,0.5,0,8,2,12,3,92
1662,B,0,both,ok,0.0,0.4,0,7,0,10,11,85
1664,B,0,both,ok,0.0,0.2,0,1,0,2,13,67
1673,B,0,both,ok,0.0,0.25,0,6,0,4,6,96
1682,B,0,both,ok,0.0,0.0,0,6,0,13,11,80
1684,B,0,both,ok,1.0,1.0,0,5,1,7,6,68
1685,B,0,both,ok,1.0,1.0,0,2,0,10,6,55
1688,B,0,both,ok,0.0,0.0,0,3,0,7,39,80
1689,B,0,both,ok,0.0,0.3333333333333333,0,3,0,3,3,84
1698,B,0,both,ok,0.0,0.3333333333333333,0,4,0,8,8,70
1699,B,0,both,ok,0.0,0.5,0,7,0,15,14,97
1703,B,0,both,ok,1.0,1.0,0,1,0,14,4,72
1720,B,0,both,ok,0.0,0.25,4,11,0,18,13,78
1724,B,0,both,ok,0.0,0.3333333333333333,0,4,1,8,5,54
1732,B,0,both,ok,0.0,0.6666666666666666,2,5,0,1,2,68
1735,B,0,both,ok,0.0,0.75,2,14,0,12,21,91
1736,B,0,both,ok,0.0,0.25,0,3,0,7,6,65
1737,B,0,both,ok,1.0,1.0,0,4,0,10,5,93
1745,B,0,both,ok,0.0,0.6666666666666666,0,7,0,10,11,80
1746,B,0,both,ok,0.0,0.75,0,3,0,6,4,84
1747,B,0,both,ok,1.0,1.0,0,9,1,7,11,73
1748,B,0,both,ok,1.0,1.0,0,6,1,5,7,51
1749,B,0,both,ok,0.0,0.6,1,8,0,8,7,75
1752,B,0,both,ok,1.0,1.0,0,1,0,7,2,63
1753,B,0,both,ok,0.0,0.8333333333333334,0,3,0,3,3,98
1757,B,0,both,ok,0.0,0.5,0,8,1,10,8,93
1758,B,0,both,ok,0.0,0.2857142857142857,0,3,0,6,2,87
1759,B,0,both,ok,0.0,0.5,0,7,1,10,13,83
1764,B,0,both,ok,0.0,0.8,0,5,1,17,5,81
1774,B,0,both,ok,1.0,1.0,0,2,1,5,2,83
1776,B,0,both,ok,0.0,0.7142857142857143,0,3,0,5,2,82
1780,B,0,both,ok,0.0,0.8571428571428571,0,5,0,5,9,95
1790,B,0,both,ok,0.0,0.75,0,4,0,3,4,83
1791,B,0,both,ok,0.0,0.75,0,4,0,6,8,57
1792,B,0,both,ok,0.0,0.75,0,0,0,4,0,41
1797,B,0,both,ok,1.0,1.0,0,0,0,15,2,71
1798,B,0,both,ok,1.0,1.0,0,1,0,13,6,76
1799,B,0,both,ok,1.0,1.0,0,10,1,6,9,78
1800,B,0,both,ok,0.0,0.3333333333333333,0,5,0,11,8,67
1805,B,0,both,ok,0.0,0.6666666666666666,2,11,1,11,13,82
1810,B,0,both,ok,1.0,1.0,0,7,0,10,9,74
1812,B,0,both,ok,1.0,1.0,0,4,1,8,3,57
1833,B,0,both,ok,1.0,1.0,0,4,2,13,9,101
1834,B,0,both,ok,0.0,0.6666666666666666,2,21,0,12,21,91
1836,B,0,both,ok,0.0,0.5,0,5,0,11,8,75
1837,B,0,both,ok,0.0,0.5714285714285714,0,2,1,4,2,72
1845,B,0,both,ok,0.0,0.6666666666666666,0,0,0,7,3,52
1847,B,0,both,ok,1.0,1.0,0,2,0,5,4,75
1848,B,0,both,ok,1.0,1.0,0,4,0,11,10,77
1851,B,0,both,ok,1.0,1.0,0,2,0,9,4,55
1852,B,0,both,ok,0.0,0.6666666666666666,0,2,0,13,7,78
1853,B,0,both,ok,0.0,0.4,0,3,0,6,6,94
1855,B,0,both,ok,0.0,0.0,0,8,0,9,10,78
1856,B,0,both,ok,0.0,0.36363636363636365,1,10,0,15,10,85
1858,B,0,both,ok,0.0,0.07692307692307693,0,4,0,8,4,87
1863,B,0,both,ok,0.0,0.25,0,5,2,11,5,70
1873,B,0,both,ok,0.0,0.6666666666666666,0,2,0,7,4,55
1874,B,0,both,ok,1.0,1.0,0,4,0,5,4,65
1890,B,0,both,ok,0.0,0.3333333333333333,0,5,2,17,6,49
1891,B,0,both,ok,0.0,0.5,0,6,1,10,5,73
1904,B,0,both,ok,1.0,1.0,0,0,0,0,2,34
1905,B,0,both,ok,0.0,0.6,0,4,0,12,7,65
1906,B,0,both,ok,0.0,0.8333333333333334,0,5,1,8,7,80
1908,B,0,both,ok,0.0,0.16666666666666666,0,5,1,9,9,86
1909,B,0,both,ok,0.0,0.0,0,2,0,10,5,93
1910,B,0,both,ok,0.0,0.8333333333333334,0,3,0,6,3,50
1911,B,0,both,ok,0.0,0.75,0,22,0,3,21,87
1912,B,0,both,ok,0.0,0.75,0,5,0,10,10,65
1913,B,0,both,ok,0.0,0.5,0,4,1,8,4,72
1921,B,0,both,ok,0.0,0.3333333333333333,0,11,0,12,12,71
1923,B,0,both,ok,0.0,0.3333333333333333,0,0,0,4,0,57
1924,B,0,both,ok,0.0,0.3333333333333333,0,2,0,11,3,60
1936,B,0,both,ok,0.0,0.75,0,1,0,5,4,74
1937,B,0,both,ok,0.0,0.5,0,0,0,2,0,102
1938,B,0,both,ok,0.0,0.0,0,9,1,15,14,90
1939,B,0,both,ok,0.0,0.2,2,10,0,15,11,86
1940,B,0,both,ok,0.0,0.8,0,7,0,7,8,81
1943,B,0,both,ok,1.0,1.0,0,4,0,12,6,85
1944,B,0,both,ok,1.0,1.0,0,1,0,10,5,65
1946,B,0,both,ok,1.0,1.0,0,0,0,12,4,84
1955,B,0,both,ok,0.0,0.25,0,5,1,9,6,91
1957,B,0,both,ok,0.0,0.0,0,7,1,8,10,78
1961,B,0,both,ok,0.0,0.25,0,5,0,6,6,74
1973,B,0,both,ok,0.0,0.4,0,5,0,12,2,102
1977,B,0,both,ok,0.0,0.5714285714285714,0,4,0,5,3,78
1979,B,0,both,ok,0.0,0.25,0,2,0,10,3,100
1980,B,0,both,ok,0.0,0.6666666666666666,0,5,0,7,9,85
1986,B,0,both,ok,0.0,0.14285714285714285,0,8,0,13,9,77
1994,B,0,both,ok,1.0,1.0,0,2,0,9,5,79
1996,B,0,both,ok,1.0,1.0,0,1,0,2,1,62
1998,B,0,both,ok,0.0,0.3333333333333333,0,8,0,16,11,89
444,A,0,a0,ok,0.0,0.0,0,6,0,2,5,89
450,A,0,a0,ok,0.0,0.3076923076923077,0,5,0,11,11,95
451,A,0,a0,ok,0.0,0.0,0,1,0,1,3,54
456,A,0,a0,ok,0.0,0.6,0,7,0,7,7,58
1621,A,0,a0,ok,0.0,0.4,0,5,0,6,6,77
1622,A,0,a0,ok,0.0,0.5,3,7,0,14,4,102
1646,A,0,a0,ok,1.0,1.0,0,2,2,3,1,87
1655,A,0,a0,ok,0.0,0.8,0,4,0,7,7,58
1656,A,0,a0,ok,0.0,0.8,0,3,0,7,6,61
1663,A,0,a0,ok,0.0,0.0,0,9,0,0,9,99
1674,A,0,a0,ok,0.0,0.5,0,3,0,4,2,93
1683,A,0,a0,ok,0.0,0.0,0,5,0,0,6,54
1687,A,0,a0,ok,0.0,0.0,0,12,0,17,7,85
1697,A,0,a0,ok,0.0,0.0,0,0,0,17,0,95
1701,A,0,a0,ok,1.0,1.0,0,2,0,6,4,73
1704,A,0,a0,ok,0.0,0.5,0,0,0,3,4,54
1716,A,0,a0,ok,0.0,0.5,2,7,0,13,11,91
1718,A,0,a0,ok,0.0,0.75,0,2,0,6,3,77
1719,A,0,a0,ok,0.0,0.25,0,6,0,12,7,97
1723,A,0,a0,ok,0.0,0.75,0,2,0,7,3,54
1731,A,0,a0,ok,1.0,1.0,0,15,1,12,15,71
1733,A,0,a0,ok,0.0,0.6666666666666666,0,1,0,2,3,47
1734,A,0,a0,ok,1.0,1.0,0,3,0,8,12,76
1744,A,0,a0,ok,0.0,0.6,0,5,0,16,9,92
1750,A,0,a0,ok,1.0,1.0,0,4,0,11,7,71
1751,A,0,a0,ok,0.0,0.75,0,5,2,5,4,76
1756,A,0,a0,ok,1.0,1.0,0,2,0,2,5,74
1760,A,0,a0,ok,0.0,0.25,0,3,1,12,4,87
1761,A,0,a0,ok,0.0,0.5,2,3,0,3,6,59
1762,A,0,a0,ok,0.0,0.75,0,9,0,3,9,95
1773,A,0,a0,ok,0.0,0.6,0,1,0,1,1,91
1777,A,0,a0,ok,0.0,0.7142857142857143,0,5,0,11,10,85
1778,A,0,a0,ok,0.0,0.42857142857142855,0,3,0,0,2,84
1779,A,0,a0,ok,0.0,0.2857142857142857,0,2,0,1,1,80
1803,A,0,a0,ok,1.0,1.0,0,0,0,2,3,65
1804,A,0,a0,ok,0.0,0.25,2,12,1,13,11,82
1806,A,0,a0,ok,1.0,1.0,0,1,1,10,4,60
1807,A,0,a0,ok,1.0,1.0,0,9,2,17,13,94
1808,A,0,a0,ok,0.0,0.25,0,13,0,18,10,93
1809,A,0,a0,ok,1.0,1.0,0,4,0,8,11,87
1811,A,0,a0,ok,0.0,0.3333333333333333,2,4,0,9,8,61
1831,A,0,a0,ok,0.0,0.875,0,1,0,1,5,91
1835,A,0,a0,ok,0.0,0.5,0,4,0,5,5,88
1838,A,0,a0,ok,0.0,0.75,0,0,0,6,0,60
1839,A,0,a0,ok,1.0,1.0,0,0,0,0,0,46
1840,A,0,a0,ok,0.0,0.16666666666666666,0,3,0,6,8,78
1841,A,0,a0,ok,0.0,0.6,0,8,2,6,8,94
1842,A,0,a0,ok,0.0,0.75,1,7,0,7,6,82
1843,A,0,a0,ok,0.0,0.25,0,6,0,7,6,70
1844,A,0,a0,ok,0.0,0.2,0,6,0,9,6,102
1849,A,0,a0,ok,1.0,1.0,0,1,0,2,1,52
1850,A,0,a0,ok,0.0,0.6666666666666666,0,7,0,5,8,77
1854,A,0,a0,ok,0.0,0.0,0,15,0,0,0,68
1857,A,0,a0,ok,0.0,0.45454545454545453,0,0,0,3,1,28
1859,A,0,a0,ok,0.0,0.2727272727272727,0,4,0,10,6,80
1875,A,0,a0,ok,0.0,0.3333333333333333,2,3,0,7,3,55
1876,A,0,a0,ok,0.0,0.625,0,2,0,9,1,93
1907,A,0,a0,ok,0.0,0.5,0,0,0,0,1,70
1932,A,0,a0,ok,0.0,0.4,0,3,0,5,8,77
1933,A,0,a0,ok,0.0,0.25,0,4,0,7,8,75
1934,A,0,a0,ok,0.0,0.25,0,7,0,9,2,96
1935,A,0,a0,ok,0.0,0.0,0,1,0,3,2,68
1945,A,0,a0,ok,1.0,1.0,0,2,0,4,7,61
1947,A,0,a0,ok,0.0,0.6666666666666666,0,1,0,8,6,54
1948,A,0,a0,ok,1.0,1.0,0,1,1,14,4,71
1954,A,0,a0,ok,0.0,0.0,0,9,0,9,15,82
1956,A,0,a0,ok,0.0,0.75,0,12,1,3,18,79
1958,A,0,a0,ok,0.0,0.3333333333333333,0,18,0,17,16,93
1960,A,0,a0,ok,0.0,0.125,0,1,0,1,2,81
1962,A,0,a0,ok,0.0,0.75,0,14,0,9,15,98
1963,A,0,a0,ok,0.0,0.0,0,6,1,24,7,94
1964,A,0,a0,ok,0.0,0.75,0,6,0,9,11,95
1965,A,0,a0,ok,0.0,0.75,0,5,0,4,1,102
1971,A,0,a0,ok,0.0,0.3333333333333333,0,5,0,2,3,91
1974,A,0,a0,ok,1.0,1.0,0,0,0,6,3,52
1975,A,0,a0,ok,0.0,0.5,0,3,0,7,5,89
1978,A,0,a0,ok,1.0,1.0,0,7,4,13,8,59
1981,A,0,a0,ok,0.0,0.16666666666666666,0,6,0,3,1,68
1982,A,0,a0,ok,1.0,1.0,0,8,1,1,8,69
1983,A,0,a0,ok,0.0,0.3333333333333333,0,6,1,9,7,93
1984,A,0,a0,ok,0.0,0.6666666666666666,0,7,1,10,6,102
1987,A,0,a0,ok,0.0,0.07692307692307693,4,10,0,11,16,82
1988,A,0,a0,ok,0.0,0.06666666666666667,0,5,0,10,10,80
1989,A,0,a0,ok,0.0,0.058823529411764705,0,8,0,6,10,79
1990,A,0,a0,ok,0.0,0.4,0,3,0,12,7,73
1991,A,0,a0,ok,0.0,0.6,0,5,0,12,7,74
1993,A,0,a0,ok,0.0,0.5,0,0,0,5,5,76
1995,A,0,a0,ok,0.0,0.0,2,5,0,7,7,89
1997,A,0,a0,ok,0.0,0.3333333333333333,0,4,0,8,4,55
1999,A,0,a0,ok,0.0,0.25,0,8,0,3,6,77
433,B,0,a0,ok,0.0,0.5,0,4,1,12,7,66
436,B,0,a0,ok,0.0,0.6666666666666666,0,3,1,13,4,62
438,B,0,a0,ok,0.0,0.8,0,0,0,0,5,59
439,B,0,a0,ok,0.0,0.75,0,7,2,8,11,78
442,B,0,a0,ok,0.0,0.5,0,0,0,0,1,89
443,B,0,a0,ok,0.0,0.0,0,4,0,0,3,84
445,B,0,a0,ok,1.0,1.0,0,3,0,2,3,32
446,B,0,a0,ok,0.0,0.0,0,5,0,4,5,78
447,B,0,a0,ok,0.0,0.0,0,3,0,1,2,97
448,B,0,a0,ok,0.0,0.6666666666666666,0,1,0,6,7,49
449,B,0,a0,ok,0.0,0.0,0,6,1,8,8,93
452,B,0,a0,ok,0.0,0.5,0,1,0,3,2,29
454,B,0,a0,ok,0.0,0.3333333333333333,0,9,0,16,0,64
455,B,0,a0,ok,0.0,0.5,1,11,0,6,10,69
458,B,0,a0,ok,0.0,0.4444444444444444,0,7,0,6,3,86
1623,B,0,a0,ok,1.0,1.0,0,6,1,9,4,62
1637,B,0,a0,ok,0.0,0.0,0,3,0,0,0,85
1662,B,0,a0,ok,0.0,0.4,1,15,0,6,14,93
1664,B,0,a0,ok,0.0,0.0,0,4,3,9,2,61
1673,B,0,a0,ok,0.0,0.5,0,9,0,10,11,75
1682,B,0,a0,ok,0.0,0.6666666666666666,3,17,2,8,18,102
1684,B,0,a0,ok,1.0,1.0,0,4,0,1,6,43
1685,B,0,a0,ok,0.0,0.0,0,2,0,4,2,59
1688,B,0,a0,ok,0.0,0.0,0,1,0,5,4,74
1689,B,0,a0,ok,1.0,1.0,0,6,2,6,5,79
1698,B,0,a0,ok,0.0,0.0,0,10,0,18,10,82
1699,B,0,a0,ok,0.0,0.5,0,0,0,6,1,66
1703,B,0,a0,ok,1.0,1.0,0,3,0,4,4,53
1720,B,0,a0,ok,0.0,0.0,2,5,0,10,11,77
1724,B,0,a0,ok,0.0,0.3333333333333333,0,3,0,6,4,65
1732,B,0,a0,ok,0.0,0.6666666666666666,0,2,0,1,3,52
1735,B,0,a0,ok,0.0,0.25,2,16,0,9,15,84
1736,B,0,a0,ok,0.0,0.75,0,4,0,4,8,72
1737,B,0,a0,ok,0.0,0.75,0,5,2,11,5,54
1745,B,0,a0,ok,0.0,0.3333333333333333,1,7,0,13,12,71
1746,B,0,a0,ok,0.0,0.75,0,9,1,8,9,90
1747,B,0,a0,ok,0.0,0.6666666666666666,0,8,0,6,3,94
1748,B,0,a0,ok,0.0,0.0,0,0,0,0,6,60
1749,B,0,a0,ok,0.0,0.8,0,1,0,0,1,78
1752,B,0,a0,ok,0.0,0.75,0,0,0,0,1,31
1753,B,0,a0,ok,0.0,0.5,2,6,3,17,7,71
1757,B,0,a0,ok,0.0,0.625,0,2,0,5,4,98
1758,B,0,a0,ok,0.0,0.42857142857142855,4,8,0,11,9,79
1759,B,0,a0,ok,0.0,0.3333333333333333,1,9,0,17,11,88
1764,B,0,a0,ok,0.0,0.4,2,6,0,6,7,80
1774,B,0,a0,ok,0.0,0.2,0,3,0,11,10,84
1776,B,0,a0,ok,0.0,0.8571428571428571,0,9,2,12,8,93
1780,B,0,a0,ok,0.0,0.8571428571428571,2,8,2,9,8,76
1790,B,0,a0,ok,0.0,0.75,0,2,1,8,2,81
1791,B,0,a0,ok,0.0,0.5,0,1,0,11,7,68
1792,B,0,a0,ok,0.0,0.75,0,1,0,6,1,50
1797,B,0,a0,ok,1.0,1.0,2,3,0,8,8,56
1798,B,0,a0,ok,0.0,0.75,0,1,0,3,4,71
1799,B,0,a0,ok,1.0,1.0,0,4,0,0,3,64
1800,B,0,a0,ok,0.0,0.6666666666666666,0,0,0,2,2,69
1805,B,0,a0,ok,0.0,0.0,0,0,0,0,0,25
1810,B,0,a0,ok,0.0,0.3333333333333333,0,6,0,7,3,53
1812,B,0,a0,ok,0.0,0.0,0,4,0,10,4,57
1833,B,0,a0,ok,0.0,0.16666666666666666,0,11,0,2,11,82
1834,B,0,a0,ok,0.0,0.5,0,11,0,11,9,76
1836,B,0,a0,ok,1.0,1.0,0,5,0,5,6,72
1837,B,0,a0,ok,0.0,0.8571428571428571,0,8,2,7,14,93
1845,B,0,a0,ok,0.0,0.5,0,1,0,6,5,78
1847,B,0,a0,ok,1.0,1.0,2,4,0,5,4,49
1848,B,0,a0,ok,0.0,0.3333333333333333,0,14,0,3,1,76
1851,B,0,a0,ok,1.0,1.0,0,3,0,10,4,68
1852,B,0,a0,ok,0.0,0.6666666666666666,0,2,0,7,6,68
1853,B,0,a0,ok,0.0,0.3,0,8,0,6,9,74
1855,B,0,a0,ok,0.0,0.25,0,5,0,7,8,95
1856,B,0,a0,ok,0.0,0.5454545454545454,0,3,2,11,3,95
1858,B,0,a0,ok,0.0,0.07692307692307693,0,2,0,7,7,85
1863,B,0,a0,ok,0.0,0.5,0,9,2,9,8,81
1873,B,0,a0,ok,1.0,1.0,1,3,0,6,3,83
1874,B,0,a0,ok,0.0,0.5,0,6,0,6,6,78
1890,B,0,a0,ok,0.0,0.3333333333333333,0,1,0,4,3,62
1891,B,0,a0,ok,0.0,0.6666666666666666,0,1,0,4,2,81
1904,B,0,a0,ok,1.0,1.0,3,2,2,6,3,40
1905,B,0,a0,ok,1.0,1.0,0,2,1,4,6,80
1906,B,0,a0,ok,0.0,0.16666666666666666,1,5,0,7,4,74
1908,B,0,a0,ok,0.0,0.3333333333333333,0,7,0,0,0,71
1909,B,0,a0,ok,0.0,0.3333333333333333,0,4,0,7,6,77
1910,B,0,a0,ok,0.0,0.6666666666666666,3,6,0,9,6,77
1911,B,0,a0,ok,0.0,0.75,0,3,0,6,5,67
1912,B,0,a0,ok,0.0,0.75,2,13,0,5,11,80
1913,B,0,a0,ok,0.0,0.75,0,1,0,3,1,64
1921,B,0,a0,ok,1.0,1.0,0,9,0,13,14,66
1923,B,0,a0,ok,0.0,0.6666666666666666,0,5,0,7,7,81
1924,B,0,a0,ok,0.0,0.6666666666666666,0,9,0,6,8,86
1936,B,0,a0,ok,0.0,0.5,0,6,0,5,6,93
1937,B,0,a0,ok,0.0,0.0,0,9,0,5,5,95
1938,B,0,a0,ok,0.0,0.0,0,1,0,3,7,90
1939,B,0,a0,ok,0.0,0.6,0,9,0,17,10,95
1940,B,0,a0,ok,0.0,0.6,0,16,0,5,15,91
1943,B,0,a0,ok,0.0,0.75,0,2,0,8,2,65
1944,B,0,a0,ok,0.0,0.75,0,4,0,7,6,78
1946,B,0,a0,ok,1.0,1.0,0,2,0,7,7,80
1955,B,0,a0,ok,0.0,0.0,0,3,2,5,9,80
1957,B,0,a0,ok,0.0,0.0,2,19,1,13,16,81
1961,B,0,a0,ok,0.0,0.0,2,3,0,6,3,55
1973,B,0,a0,ok,0.0,0.6,0,2,0,7,4,89
1977,B,0,a0,ok,0.0,0.5714285714285714,0,1,0,6,2,93
1979,B,0,a0,ok,0.0,0.5,0,1,0,1,2,65
1980,B,0,a0,ok,0.0,0.6666666666666666,0,2,0,4,3,58
1986,B,0,a0,ok,0.0,0.14285714285714285,1,5,1,12,11,73
1994,B,0,a0,ok,0.0,0.6666666666666666,0,1,0,2,3,73
1996,B,0,a0,ok,0.0,0.3333333333333333,0,2,0,7,9,75
1998,B,0,a0,ok,0.0,0.6666666666666666,0,0,0,3,5,74
444,A,0,a1,ok,0.0,0.16666666666666666,0,1,0,0,1,91
450,A,0,a1,ok,0.0,0.15384615384615385,0,5,0,17,9,86
451,A,0,a1,ok,0.0,0.0,0,4,0,12,10,77
456,A,0,a1,ok,0.0,0.8,0,0,0,4,2,61
1621,A,0,a1,ok,0.0,0.4,0,3,0,5,2,92
1622,A,0,a1,ok,1.0,1.0,0,0,0,14,2,73
1646,A,0,a1,ok,1.0,1.0,0,2,0,4,1,45
1655,A,0,a1,ok,0.0,0.8,0,5,1,3,7,51
1656,A,0,a1,ok,0.0,0.2,0,12,0,5,14,70
1663,A,0,a1,ok,0.0,0.0,0,22,0,0,22,100
1674,A,0,a1,ok,1.0,1.0,0,10,2,17,16,84
1683,A,0,a1,ok,0.0,0.0,0,15,0,2,13,102
1687,A,0,a1,ok,0.0,0.8,0,9,0,10,13,82
1697,A,0,a1,ok,0.0,0.0,0,0,0,0,0,41
1701,A,0,a1,ok,1.0,1.0,0,4,0,13,12,74
1704,A,0,a1,ok,0.0,0.25,0,9,0,9,12,98
1716,A,0,a1,ok,0.0,0.75,0,1,0,5,2,44
