bank,kind,skill,inst,e_src,demo_parse,seq_parse,provenance_episode,provenance_steps,transition,n_transitions,single_errand
R,individual,navigate_to_target_individual,49,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,50,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,51,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,52,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,53,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,54,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,55,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,56,agent_1_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,57,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,58,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,59,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,60,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,61,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,62,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,63,agent_1_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,64,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,65,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,66,agent_1_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,67,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,68,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,69,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,70,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,71,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,72,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,73,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,74,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,75,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,76,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,77,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,78,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,79,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,80,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,81,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,82,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,83,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,84,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,85,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,86,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,87,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,88,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,89,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,90,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,91,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,92,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,93,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,94,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,95,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,96,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,97,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,98,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,99,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,100,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,101,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,102,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,103,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,104,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,105,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,106,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,107,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,108,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,109,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,110,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,111,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,112,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,113,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,114,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,115,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,116,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,117,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,118,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,119,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,120,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,121,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,122,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,123,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,124,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,125,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,126,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,127,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,128,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,129,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,130,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,131,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,132,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,133,agent_1_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,134,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,135,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,136,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,137,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,138,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,139,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,140,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,141,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,142,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,143,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,144,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,145,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,146,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,147,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,148,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,149,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,150,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,151,agent_1_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,152,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,153,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,154,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,155,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,156,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,157,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,158,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,159,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,160,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,161,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,162,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,163,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,164,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,165,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,166,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,167,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,168,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,169,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,170,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,171,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,172,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,173,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,174,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,175,agent_1_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,176,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,177,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,178,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,179,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,180,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,181,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,182,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,183,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,184,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,185,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,186,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,187,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,188,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,189,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,190,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,191,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,192,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,193,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,194,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,195,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,196,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,197,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,198,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,199,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,200,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,201,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,202,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,203,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,204,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,205,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,206,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,207,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,208,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,209,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,210,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,211,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,212,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,213,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,214,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,215,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,216,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,217,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,218,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,219,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,220,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,221,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,222,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,223,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,224,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,225,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,226,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,227,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,228,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,229,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,230,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,231,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,232,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,233,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,234,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,235,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,236,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,237,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,238,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,239,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,240,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,241,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,242,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,243,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,244,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,245,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,246,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,247,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,248,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,249,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,250,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,251,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,252,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,253,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,254,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,255,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,256,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,257,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,258,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,259,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,260,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,261,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,262,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,263,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,264,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,265,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,266,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,267,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,268,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,269,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,270,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,271,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,272,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,273,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,274,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,275,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,276,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,277,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,278,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,279,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,280,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,281,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,282,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,283,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,284,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,285,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,286,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,287,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,288,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,289,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,290,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,291,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,292,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,293,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,294,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,295,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,296,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,297,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,298,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,299,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,300,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,301,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,302,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,303,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,304,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,305,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,306,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,307,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,308,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,309,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,310,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,311,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,312,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,313,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,314,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,315,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,316,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,317,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,318,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,319,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,320,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,321,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,322,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,323,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,324,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,325,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,326,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,327,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,328,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,329,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,330,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,331,agent_1_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,332,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,333,agent_1_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,334,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,335,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,336,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,337,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,338,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,339,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,340,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,341,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,342,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,343,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,344,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,345,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,346,agent_1_llm,0,1,0,0,0,0,0
