split	index	plan_length	object_count	ordered_units
train	7091	8	2	fetch(plate) || state_change(open,cabinet) || relocate(plate,kitchen work area) || fetch(tomato) || open_container_then_retrieve(cabinet,tomato) || relocate(tomato,plate) || multi_object_sequence(2)
test	110	8	2	state_change(open,cabinet) || fetch(plate) || relocate(plate,kitchen island area) || fetch(apple) || open_container_then_retrieve(cabinet,apple) || relocate(apple,plate) || multi_object_sequence(2)
test	141	6	2	fetch(bread) || fetch(bowl) || relocate(bread,toaster) || relocate(bowl,kitchen work area) || state_change(interact,toaster) || multi_object_sequence(2)
test	185	5	1	fetch(banana) || relocate(banana,table)
test	276	5	1	fetch(banana) || relocate(banana,table)
test	557	5	1	fetch(banana) || relocate(banana,kitchen island area)
test	652	7	1	state_change(push,cardboardbox,R2) || fetch(meat) || relocate(meat,cardboardbox) || state_change(push,cardboardbox,R3) || fetch(meat) || relocate(meat,sink)
test	727	11	1	fetch(pear) || relocate(pear,sink) || state_change(interact,sink) || fetch(pear) || check_then_act(sink,pear) || relocate(pear,plate)
test	756	5	1	fetch(pear) || relocate(pear,table)
test	768	5	1	fetch(cup) || relocate(cup,kitchen work area)
test	875	5	2	fetch(apple) || fetch(bread) || relocate(apple,plate) || relocate(bread,plate) || multi_object_sequence(2)
test	883	6	1	fetch(knife) || fetch(apple) || relocate(apple,wooden cutting board) || state_change(interact,knife)
test	1206	2	0	state_change(interact,oven)
test	1212	5	1	fetch(pear) || relocate(pear,table)
test	1367	11	1	fetch(pear) || relocate(pear,sink) || state_change(interact,sink) || fetch(pear) || check_then_act(sink,pear) || relocate(pear,bowl)
test	1373	7	2	fetch(apple) || fetch(knife) || state_change(open,cabinet) || relocate(apple,cabinet) || relocate(knife,cabinet) || multi_object_sequence(2)
test	1405	9	2	fetch(knife) || fetch(apple) || fetch(banana) || relocate(apple,wooden cutting board) || relocate(banana,wooden cutting board) || state_change(interact,knife) || multi_object_sequence(2)
test	1421	8	2	fetch(banana) || fetch(pumpkin) || relocate(banana,bowl) || relocate(pumpkin,bowl) || multi_object_sequence(2)
test	1445	5	1	fetch(pear) || relocate(pear,table)
test	1526	8	1	state_change(open,cabinet) || fetch(banana) || open_container_then_retrieve(cabinet,banana) || relocate(banana,bowl)
test	1572	5	1	fetch(cooling fan) || relocate(cooling fan,rack)
test	1607	5	1	fetch(bottle) || relocate(bottle,rack)
test	1708	5	1	fetch(banana) || relocate(banana,plate)
test	1719	6	2	fetch(plate) || fetch(bread) || relocate(plate,kitchen island area) || relocate(bread,toaster) || state_change(interact,toaster) || multi_object_sequence(2)
test	1732	6	1	fetch(pear) || fetch(knife) || relocate(pear,wooden cutting board) || state_change(interact,knife)
test	1786	8	2	fetch(plate) || state_change(open,cabinet) || relocate(plate,kitchen island area) || fetch(banana) || open_container_then_retrieve(cabinet,banana) || relocate(banana,plate) || multi_object_sequence(2)
