index,subgoal_position,predicted_subgoal,predicted_primitive_kind,matched_skill_name,injected_instance_ids,injected_unit_kinds,retrieval_hit,channel
29,3,rinse_peach_0,,place_peach,[],[],,instance
29,4,move_to_bowl_0,,place_bowl,[],[],,instance
29,5,place_peach_0_in_bowl_0,relocate,place_peach_on_table,[],[],False,instance
33,0,find_bread_0,fetch,fetch_bread,"[""2519:1"",""5838:1""]","[""fetch"",""open_container_then_retrieve""]",True,instance
33,1,find_bread_1,fetch,fetch_bread,"[""5988:1"",""6118:1""]","[""fetch"",""open_container_then_retrieve""]",True,instance
33,2,find_bread_2,fetch,fetch_bread,"[""3266:1"",""5679:1""]","[""fetch"",""open_container_then_retrieve""]",True,instance
33,3,find_bowl_0,fetch,fetch_bowl,[],[],False,instance
33,4,find_bowl_2,fetch,fetch_bowl,[],[],False,instance
33,5,serve_bread_on_bowl,relocate,place_bread_on_bowl,[],[],False,instance
40,0,get_peach_1,fetch,fetch_peach,[],[],False,instance
40,1,place_peach_on_wooden_cutting_board_3,relocate,place_peach_on_table,[],[],False,instance
40,2,get_tomato_2,fetch,fetch_tomato,[],[],False,instance
40,3,place_tomato_on_wooden_cutting_board_3,relocate,fetch_tomato_from_cabinet,[],[],False,instance
40,4,get_knife_0,fetch,cut_with_knife,[],[],False,instance
40,5,slice_peach_with_knife,state_change,fetch_peach_from_cabinet,[],[],False,instance
40,6,slice_tomato_with_knife,state_change,fetch_tomato_from_cabinet,[],[],False,instance
41,0,find_tomato_0,fetch,fetch_tomato,[],[],False,instance
41,1,find_green_peas_1,fetch,fetch_tomato,[],[],False,instance
41,2,find_bowl_2,fetch,fetch_bowl,[],[],False,instance
41,3,move_tomato_to_bowl,relocate,fetch_tomato_from_cabinet,[],[],False,instance
41,4,move_green_peas_to_bowl,relocate,move_to_pear,[],[],False,instance
42,0,get_meat_from_r2,fetch,fetch_tomato_from_cabinet,[],[],False,instance
42,1,check_distance_to_sink,state_change,inspect_location,[],[],False,instance
42,2,put_meat_in_cardboardbox,relocate,cardboardbox_object,"[""2919:1"",""4773:1""]","[""state_change""]",False,instance
42,3,move_cardboardbox_to_sink,relocate,move_cardboardbox,"[""1889:1"",""5003:1""]","[""relocate"",""state_change""]",True,instance
42,4,retrieve_meat_from_cardboardbox,fetch,cardboardbox_object,"[""2827:1"",""5667:1""]","[""relocate"",""state_change""]",False,instance
45,0,go_to_peach_0,,place_peach,[],[],,instance
45,1,take_peach_0,fetch,place_peach,[],[],False,instance
45,2,go_to_sink_1,,navigate_to_kitchen_island,[],[],,instance
45,3,rinse_peach_0,,place_peach,[],[],,instance
45,4,go_to_bowl_0,,place_bowl,[],[],,instance
45,5,put_peach_0_in_bowl_0,relocate,place_peach_on_table,[],[],False,instance
47,0,move_peach_to_wooden_cutting_board,relocate,place_peach_on_table,[],[],False,instance
47,1,move_bread_to_wooden_cutting_board,relocate,fetch_bread_from_cabinet,[],[],False,instance
47,2,work_knife_on_peach,,place_peach_on_table,[],[],,instance
47,3,work_knife_on_bread,,cut_with_knife,[],[],,instance
49,0,pick_apple_0_from_kitchen_work_area,fetch,fetch_fruit_from_cabinet,[],[],False,instance
49,1,place_apple_0_in_bowl_2,relocate,place_bowl,[],[],False,instance
49,2,pick_pear_1_from_kitchen_work_area,fetch,fetch_pear_from_cabinet,[],[],False,instance
49,3,place_pear_1_in_bowl_2,relocate,place_pear_on_table,[],[],False,instance
51,0,move_to_pear_0,,move_to_pear,[],[],,instance
51,1,pick_pear_0,fetch,place_pear,[],[],False,instance
51,2,move_to_kitchen_island_area,,navigate_to_kitchen_island,[],[],,instance
51,3,place_pear_0,relocate,place_pear,[],[],False,instance
52,0,move_to_kitchen_work_area,,move_to_cabinet,"[""2103:1"",""3614:1""]",[],,instance
52,1,pick_apple_0,fetch,fetch_apple,[],[],False,instance
52,2,move_to_cabinet_1,,move_to_cabinet,"[""5090:1"",""1810:1""]",[],,instance
52,3,place_apple_0_in_cabinet_1,relocate,fetch_apple_from_cabinet,[],[],False,instance
52,4,move_to_kitchen_work_area,,move_to_cabinet,"[""221:1"",""5954:1""]",[],,instance
52,5,pick_knife_1,fetch,cut_with_knife,[],[],False,instance
52,6,move_to_cabinet_1,,move_to_cabinet,[],[],,instance
52,7,place_knife_1_in_cabinet_1,relocate,place_objects_in_cabinet,[],[],False,instance
53,0,retrieve_bowl_0,fetch,fetch_bowl,"[""4764:0"",""1488:0""]","[""fetch"",""state_change""]",True,instance
53,1,place_bowl_0_on_kitchen_work_area,relocate,place_bowl,"[""4764:1"",""1488:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",True,instance
53,2,retrieve_apple_1_from_cabinet,fetch,fetch_apple_from_cabinet,[],[],False,instance
53,3,place_apple_1_in_bowl_0,relocate,place_bowl,"[""2686:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",True,instance
54,0,pick_bread_from_kitchen_work_area,fetch,fetch_bread_from_cabinet,[],[],False,instance
54,1,place_bread_into_toaster,relocate,place_bread_on_bowl,[],[],False,instance
54,2,turn_on_toaster,state_change,navigate_to_oven,[],[],False,instance
54,3,pick_plate_from_kitchen_work_area,fetch,place_plate_on_kitchen_island,[],[],False,instance
54,4,place_plate_on_kitchen_island_area,relocate,place_plate_on_kitchen_island,[],[],False,instance
59,0,go_to_banana_0,,place_banana,[],[],,instance
59,1,take_banana_0_from_kitchen_work_area,fetch,fetch_fruit_from_cabinet,[],[],False,instance
59,2,go_to_sink_1,,navigate_to_kitchen_island,[],[],,instance
59,3,rinse_banana_0,,fetch_banana,[],[],,instance
59,4,go_to_plate_0,,place_on_plate,[],[],,instance
59,5,put_banana_0_in_plate_0,relocate,place_banana,[],[],False,instance
61,0,pick_apple_0_from_kitchen_work_area,fetch,fetch_fruit_from_cabinet,[],[],False,instance
61,1,place_apple_0_in_cabinet_1,relocate,fetch_apple_from_cabinet,[],[],False,instance
61,2,pick_spoon_1_from_kitchen_work_area,fetch,place_spoon,[],[],False,instance
61,3,place_spoon_1_in_cabinet_1,relocate,place_spoon,[],[],False,instance
62,0,go_to_tomato_0,,place_tomato,[],[],,instance
62,1,pick_tomato_0,fetch,place_tomato,[],[],False,instance
62,2,go_to_sink_1,,navigate_to_kitchen_island,[],[],,instance
62,3,clean_tomato_0,state_change,place_tomato,[],[],False,instance
62,4,go_to_plate_0,,place_on_plate,[],[],,instance
62,5,place_tomato_0_on_plate_0,relocate,load_tomato_into_plate,[],[],False,instance
68,0,get_pear_1,fetch,fetch_pear,[],[],False,instance
68,1,place_pear_on_wooden_cutting_board_2,relocate,place_pear_on_table,[],[],False,instance
68,2,get_knife_0,fetch,cut_with_knife,"[""2255:2"",""782:2""]","[""state_change""]",False,instance
68,3,slice_pear_with_knife_0,state_change,cut_with_knife,[],[],False,instance
71,0,pick_pumpkin_0,fetch,place_peach,[],[],False,instance
71,1,pick_spoon_1,fetch,place_spoon,[],[],False,instance
71,2,store_pumpkin_and_spoon_in_cabinet,relocate,place_spoon,[],[],False,instance
73,0,find_scissors_0,fetch,cut_with_knife,[],[],False,instance
73,1,move_to_rack,,move_to,[],[],,instance
73,2,place_scissors_on_rack,relocate,cut_with_knife,[],[],False,instance
76,0,check_table_for_peach,state_change,check_table_fruits,"[""2444:0""]","[""fetch"",""state_change""]",True,instance
76,1,check_table_for_banana,state_change,check_table_fruits,[],[],False,instance
76,2,retrieve_peach_if_missing,fetch,fetch_peach_from_cabinet,"[""277:1"",""5935:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",True,instance
76,3,retrieve_banana_if_missing,fetch,fetch_banana,"[""5046:2"",""5740:2""]","[""multi_object_sequence"",""relocate""]",False,instance
78,0,stack_peach_on_wooden_cutting_board,,place_peach_on_table,[],[],,instance
78,1,stack_tomato_on_wooden_cutting_board,,fetch_tomato_from_cabinet,[],[],,instance
78,2,chop_peach_and_tomato_with_knife,,cut_with_knife,[],[],,instance
82,0,inspect_table_for_apple,state_change,inspect_table,"[""1246:0"",""3434:0""]","[""fetch"",""state_change""]",True,instance
82,1,inspect_table_for_tomato,state_change,inspect_table,"[""4740:0"",""6384:0""]","[""fetch"",""state_change""]",True,instance
82,2,fetch_missing_apple,fetch,fetch_apple,"[""2839:1"",""5740:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",True,instance
82,3,fetch_missing_tomato,fetch,fetch_tomato,[],[],False,instance
82,4,place_apple_on_table,relocate,place_apple_on_table,[],[],False,instance
82,5,place_tomato_on_table,relocate,load_tomato_into_plate,[],[],False,instance
84,0,find_apple_0,fetch,fetch_apple,[],[],False,instance
84,1,find_bowl_0,fetch,fetch_bowl,[],[],False,instance
84,2,place_apple_on_bowl,relocate,place_bread_on_bowl,[],[],False,instance
85,0,move_to_peach_0,,move_to_pear,[],[],,instance
85,1,take_peach_0,fetch,place_peach,[],[],False,instance
85,2,move_to_sink_1,,move_to_destination,"[""6451:1"",""6451:4""]","[""relocate""]",,instance
85,3,clean_peach_0,state_change,place_peach,[],[],False,instance
85,4,move_to_bowl_0,,place_bowl,[],[],,instance
85,5,put_peach_0_in_bowl_0,relocate,place_peach_on_table,[],[],False,instance
88,0,inspect_table_for_apple,state_change,inspect_table,"[""3147:0"",""3447:0""]","[""fetch"",""state_change""]",True,instance
88,1,inspect_table_for_banana,state_change,check_table_fruits,"[""2444:0""]","[""fetch"",""state_change""]",True,instance
88,2,find_missing_banana,fetch,fetch_banana,"[""1923:2"",""2411:2""]","[""multi_object_sequence"",""relocate""]",False,instance
88,3,retrieve_banana_from_location,fetch,fetch_banana,"[""2782:2""]","[""multi_object_sequence"",""relocate""]",False,instance
88,4,place_banana_on_table,relocate,place_fruit_on_table,[],[],False,instance
91,0,move_to_peach_0,,move_to_pear,[],[],,instance
91,1,pick_peach_0,fetch,place_peach,[],[],False,instance
91,2,move_to_kitchen_island_area,,navigate_to_kitchen_island,[],[],,instance
91,3,place_peach_0,relocate,place_peach,[],[],False,instance
93,0,assess_area_around_fridge,,inspect_oven,"[""1959:1"",""1979:1""]","[""state_change""]",,instance
94,0,move_to_kitchen_island_area,,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",,instance
94,1,pick_plate_0,fetch,place_plate,"[""1379:0"",""4075:0""]","[""fetch"",""state_change""]",True,instance
94,2,move_to_kitchen_work_area,,move_to_cabinet,"[""3800:0""]","[""fetch"",""state_change""]",,instance
94,3,place_plate_0,relocate,place_plate,"[""4469:0"",""649:0""]","[""fetch"",""state_change""]",False,instance
94,4,move_to_cabinet,,move_to_cabinet,[],[],,instance
94,5,open_cabinet,state_change,open_cabinet,[],[],False,instance
94,6,pick_banana_1,fetch,fetch_banana,[],[],False,instance
94,7,close_cabinet,state_change,open_cabinet,[],[],False,instance
94,8,move_to_kitchen_work_area,,move_to_cabinet,[],[],,instance
94,9,place_banana_1_on_plate_0,relocate,place_banana,[],[],False,instance
115,0,place_bowl_on_kitchen_island_area,relocate,place_plate_on_kitchen_island,"[""1484:1"",""2240:0""]","[""fetch"",""relocate"",""state_change""]",True,instance
115,1,fetch_bread_from_cabinet,fetch,fetch_bread_from_cabinet,"[""1484:2""]","[""fetch"",""open_container_then_retrieve""]",True,instance
115,2,load_bread_into_bowl,relocate,place_bread_on_bowl,[],[],False,instance
118,0,check_table_for_pear_and_banana,state_change,check_table_fruits,"[""2444:0""]","[""fetch"",""state_change""]",True,instance
118,1,check_cabinet_for_pear,state_change,fetch_pear_from_cabinet,"[""1070:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",False,instance
118,2,check_cabinet_for_banana,state_change,fetch_fruit_from_cabinet,"[""4135:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",False,instance
118,3,retrieve_missing_fruit,fetch,fetch_missing_fruit,"[""1207:1"",""2444:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",True,instance
121,0,examine_table,,inspect_table,"[""184:0"",""3195:0""]","[""fetch"",""state_change""]",,instance
121,1,check_peach_presence,state_change,fetch_peach,"[""1065:1"",""353:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",False,instance
121,2,check_tomato_presence,state_change,load_tomato,[],[],False,instance
121,3,retrieve_peach_from_cabinet,fetch,fetch_peach_from_cabinet,"[""277:1"",""5935:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",True,instance
121,4,retrieve_tomato_from_kitchen_work_area,fetch,fetch_tomato_from_cabinet,[],[],False,instance
121,5,place_peach_on_table,relocate,place_peach_on_table,[],[],False,instance
121,6,place_tomato_on_table,relocate,load_tomato_into_plate,[],[],False,instance
122,0,pick_fork_from_r2,fetch,cut_with_knife,[],[],False,instance
122,1,place_fork_in_cardboardbox_1,relocate,move_cardboardbox,"[""1889:1"",""5003:1""]","[""relocate"",""state_change""]",True,instance
122,2,move_cardboardbox_1_to_sink_2,relocate,move_cardboardbox,"[""2318:2"",""4873:1""]","[""fetch"",""relocate"",""state_change""]",True,instance
122,3,extract_fork_from_cardboardbox_1,,cardboardbox_object,"[""2919:1"",""4773:1""]","[""state_change""]",,instance
129,0,load_bread_into_toaster,relocate,fetch_bread_from_cabinet,[],[],False,instance
129,1,start_toaster_operation,,fetch_bread_from_cabinet,[],[],,instance
129,2,arrange_plate_on_kitchen_island_area,,place_plate_on_kitchen_island,[],[],,instance
133,0,move_to_banana_0,,place_banana,[],[],,instance
133,1,pick_banana_0,fetch,fetch_banana,[],[],False,instance
133,2,move_to_sink_1,,move_to_destination,"[""2751:1"",""2751:4""]","[""relocate""]",,instance
133,3,wash_banana_0,state_change,place_banana,[],[],False,instance
133,4,move_to_bowl_0,,place_bowl,[],[],,instance
133,5,place_banana_0_in_bowl_0,relocate,place_banana,[],[],False,instance
134,0,pick_bread_from_kitchen_work_area,fetch,fetch_bread_from_cabinet,[],[],False,instance
134,1,place_bread_into_toaster,relocate,place_bread_on_bowl,[],[],False,instance
134,2,turn_on_toaster,state_change,navigate_to_oven,[],[],False,instance
134,3,pick_plate_from_kitchen_island_area,fetch,place_plate_on_kitchen_island,[],[],False,instance
134,4,place_plate_on_kitchen_work_area,relocate,place_plate_on_kitchen_island,[],[],False,instance
136,0,inspect_table,state_change,inspect_table,"[""3372:0"",""6123:0""]","[""fetch"",""state_change""]",True,instance
136,1,check_for_missing_apple,state_change,fetch_apple_from_cabinet,"[""5944:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",False,instance
136,2,check_for_missing_tomato,state_change,fetch_tomato_from_cabinet,[],[],False,instance
136,3,fetch_missing_apple,fetch,fetch_apple,"[""5740:1"",""2839:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",True,instance
136,4,fetch_missing_tomato,fetch,fetch_tomato,[],[],False,instance
138,0,pick_peach_0,fetch,place_peach,[],[],False,instance
138,1,pick_spoon_1,fetch,place_spoon,[],[],False,instance
138,2,deposit_peach_0_in_cabinet_1,,fetch_peach_from_cabinet,[],[],,instance
138,3,deposit_spoon_1_in_cabinet_1,,place_spoon,[],[],,instance
145,0,place_bowl_on_kitchen_work_area,relocate,place_bowl,"[""4764:1"",""1488:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",True,instance
145,1,fetch_apple_from_cabinet,fetch,fetch_apple_from_cabinet,[],[],False,instance
145,2,load_apple_into_bowl,relocate,place_apple_on_table,[],[],False,instance
147,0,pick_bread_0,fetch,place_bread,[],[],False,instance
147,1,place_bread_in_toaster,relocate,place_bread_on_bowl,[],[],False,instance
147,2,turn_on_toaster,state_change,navigate_to_oven,[],[],False,instance
147,3,pick_plate_2,fetch,place_plate,[],[],False,instance
147,4,place_plate_on_kitchen_work_area,relocate,place_plate_on_kitchen_island,[],[],False,instance
153,0,find_apple_0,fetch,fetch_apple,[],[],False,instance
153,1,open_cabinet_1,state_change,open_cabinet,[],[],False,instance
153,2,find_apple_0,fetch,fetch_apple,[],[],False,instance
153,3,pick_apple_0,fetch,fetch_apple,[],[],False,instance
153,4,place_apple_0_on_plate_2,relocate,place_apple_on_table,[],[],False,instance
161,0,check_table_for_peach,state_change,check_table_fruits,"[""2444:0""]","[""fetch"",""state_change""]",True,instance
161,1,check_table_for_banana,state_change,check_table_fruits,[],[],False,instance
161,2,retrieve_missing_peach,fetch,fetch_peach_from_cabinet,"[""277:1"",""5935:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",True,instance
161,3,retrieve_missing_banana,fetch,fetch_banana,"[""1923:2"",""2411:2""]","[""multi_object_sequence"",""relocate""]",False,instance
161,4,check_cabinet_for_peach,state_change,fetch_peach_from_cabinet,"[""656:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",False,instance
161,5,check_cabinet_for_banana,state_change,fetch_fruit_from_cabinet,[],[],False,instance
164,0,load_meat_into_bowl,relocate,load_tomato_into_plate,[],[],False,instance
164,1,load_tomato_into_bowl,relocate,load_tomato_into_plate,[],[],False,instance
171,0,get_knife_0_from_kitchen_work_area,fetch,cut_with_knife,"[""2255:2"",""782:2""]","[""state_change""]",False,instance
171,1,get_pear_1_from_kitchen_work_area,fetch,fetch_pear_from_cabinet,[],[],False,instance
171,2,place_pear_1_on_wooden_cutting_board_2,relocate,place_pear_on_table,[],[],False,instance
171,3,slice_pear_1_with_knife_0,state_change,cut_with_knife,[],[],False,instance
176,0,move_pear_to_wooden_cutting_board,relocate,move_to_pear,[],[],False,instance
176,1,move_tomato_to_wooden_cutting_board,relocate,fetch_tomato_from_cabinet,[],[],False,instance
176,2,cut_pear_with_knife,state_change,cut_with_knife,[],[],False,instance
176,3,cut_tomato_with_knife,state_change,fetch_tomato_from_cabinet,[],[],False,instance
177,0,pick_bread_0,fetch,place_bread,[],[],False,instance
177,1,place_bread_in_toaster,relocate,place_bread_on_bowl,[],[],False,instance
177,2,turn_on_toaster,state_change,navigate_to_oven,[],[],False,instance
177,3,pick_plate_2,fetch,place_plate,[],[],False,instance
177,4,place_plate_on_kitchen_work_area,relocate,place_plate_on_kitchen_island,[],[],False,instance
179,0,pick_bread_0,fetch,place_bread,[],[],False,instance
179,1,place_bread_in_toaster,relocate,place_bread_on_bowl,[],[],False,instance
179,2,turn_on_toaster,state_change,navigate_to_oven,[],[],False,instance
179,3,pick_plate_2,fetch,place_plate,[],[],False,instance
179,4,place_plate_on_kitchen_work_area,relocate,place_plate_on_kitchen_island,[],[],False,instance
187,0,check_bread_presence,state_change,fetch_bread,[],[],False,instance
187,1,check_plate_presence,state_change,place_plate,[],[],False,instance
187,2,check_cabinet_for_bread,state_change,fetch_bread_from_cabinet,[],[],False,instance
187,3,place_bread_on_plate,relocate,place_bread_on_bowl,[],[],False,instance
192,0,run_water_over_peach,,place_peach_on_table,[],[],,instance
192,1,arrange_peach_in_plate,,place_peach_on_table,[],[],,instance
193,0,move_to_bottle_0,,move_to,[],[],,instance
193,1,pick_bottle_0,fetch,cardboardbox_spoon,[],[],False,instance
193,2,move_to_rack,,move_to,[],[],,instance
193,3,place_bottle_0_on_rack,relocate,place_on_plate,[],[],False,instance
197,0,find_peach_0,fetch,fetch_peach,[],[],False,instance
197,1,find_knife_1,fetch,cut_with_knife,[],[],False,instance
197,2,move_to_cabinet_1,,move_to_cabinet,"[""2941:1"",""6691:1""]",[],,instance
197,3,place_peach_in_cabinet,relocate,fetch_peach_from_cabinet,[],[],False,instance
197,4,place_knife_in_cabinet,relocate,place_objects_in_cabinet,"[""1944:3"",""3497:3""]","[""multi_object_sequence"",""relocate""]",True,instance
202,0,check_table_for_pear,state_change,check_table_fruits,"[""2444:0""]","[""fetch"",""state_change""]",True,instance
202,1,check_table_for_banana,state_change,check_table_fruits,[],[],False,instance
202,2,retrieve_missing_pear,fetch,fetch_pear_from_cabinet,"[""1070:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",True,instance
202,3,retrieve_missing_banana,fetch,fetch_banana,"[""5740:2"",""5046:2""]","[""multi_object_sequence"",""relocate""]",False,instance
209,0,pick_apple_0_from_kitchen_work_area,fetch,fetch_fruit_from_cabinet,[],[],False,instance
209,1,pick_spoon_1_from_kitchen_work_area,fetch,place_spoon,[],[],False,instance
209,2,move_to_cabinet_2,,move_to_cabinet,"[""2356:1"",""2455:1""]",[],,instance
209,3,store_apple_0_in_cabinet_2,relocate,fetch_apple_from_cabinet,[],[],False,instance
209,4,store_spoon_1_in_cabinet_2,relocate,place_spoon,[],[],False,instance
222,0,get_peach_1,fetch,fetch_peach,[],[],False,instance
222,1,place_peach_on_wooden_cutting_board_3,relocate,place_peach_on_table,[],[],False,instance
222,2,get_tomato_2,fetch,fetch_tomato,[],[],False,instance
222,3,place_tomato_on_wooden_cutting_board_3,relocate,fetch_tomato_from_cabinet,[],[],False,instance
222,4,get_knife_0,fetch,cut_with_knife,[],[],False,instance
222,5,slice_peach_with_knife,state_change,fetch_peach_from_cabinet,[],[],False,instance
222,6,slice_tomato_with_knife,state_change,fetch_tomato_from_cabinet,[],[],False,instance
225,0,move_cardboardbox_to_kitchen_island,relocate,move_cardboardbox,[],[],False,instance
228,0,pick_pumpkin_0_from_r3,fetch,fetch_tomato_from_cabinet,[],[],False,instance
228,1,place_pumpkin_0_in_cardboardbox_1,relocate,cardboardbox_spoon,"[""2468:1"",""1454:1""]","[""relocate"",""state_change""]",True,instance
228,2,move_cardboardbox_1_to_sink_2,relocate,move_cardboardbox,"[""5133:1"",""4873:1""]","[""relocate"",""state_change""]",True,instance
228,3,extract_pumpkin_0_from_cardboardbox_1,,cardboardbox_spoon,"[""4367:1"",""1982:1""]","[""relocate"",""state_change""]",,instance
228,4,place_pumpkin_0_in_sink_2,relocate,place_bowl,[],[],False,instance
230,0,pick_pear_0,fetch,place_pear,[],[],False,instance
230,1,pick_pizza_1,fetch,place_tomato,[],[],False,instance
230,2,place_pear_0_into_plate_2,relocate,place_pear_on_table,[],[],False,instance
230,3,place_pizza_1_into_plate_2,relocate,place_on_plate,[],[],False,instance
234,0,move_to_apple_0,,move_to_pear,[],[],,instance
234,1,pick_apple_0,fetch,fetch_apple,[],[],False,instance
234,2,move_to_sink_1,,move_to_destination,"[""2751:1"",""2751:4""]","[""relocate""]",,instance
234,3,clean_apple_0,state_change,fetch_apple,[],[],False,instance
234,4,move_to_plate_0,,place_on_plate,[],[],,instance
234,5,place_apple_0_on_plate_0,relocate,place_apple_on_table,[],[],False,instance
235,0,inspect_table_for_peach_and_tomato,state_change,check_table_fruits,"[""2444:0""]","[""fetch"",""state_change""]",True,instance
235,1,check_cabinet_for_peach,state_change,fetch_peach_from_cabinet,"[""277:1"",""5935:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",False,instance
235,2,fetch_peach_from_cabinet,fetch,fetch_peach_from_cabinet,"[""656:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",True,instance
235,3,place_peach_on_table,relocate,place_peach_on_table,"[""277:2"",""5935:2""]","[""multi_object_sequence"",""relocate""]",True,instance
235,4,check_kitchen_work_area_for_tomato,state_change,fetch_tomato_from_cabinet,[],[],False,instance
235,5,fetch_tomato_from_kitchen_work_area,fetch,fetch_tomato_from_cabinet,[],[],False,instance
235,6,place_tomato_on_table,relocate,load_tomato_into_plate,[],[],False,instance
247,0,go_to_peach_0,,place_peach,[],[],,instance
247,1,take_peach_0,fetch,place_peach,[],[],False,instance
247,2,go_to_sink_1,,navigate_to_kitchen_island,[],[],,instance
247,3,rinse_peach_0,,place_peach,[],[],,instance
247,4,go_to_plate_0,,place_on_plate,[],[],,instance
247,5,put_peach_0_in_plate_0,relocate,place_peach_on_table,[],[],False,instance
250,0,move_to_tomato_0,,place_tomato,[],[],,instance
250,1,pick_tomato_0,fetch,place_tomato,[],[],False,instance
250,2,move_to_bowl_0,,place_bowl,[],[],,instance
250,3,place_tomato_0_in_bowl_0,relocate,load_tomato_into_plate,[],[],False,instance
250,4,move_to_pumpkin_1,,move_to_pear,[],[],,instance
250,5,pick_pumpkin_1,fetch,place_peach,[],[],False,instance
250,6,move_to_bowl_0,,place_bowl,[],[],,instance
250,7,place_pumpkin_1_in_bowl_0,relocate,place_bowl,[],[],False,instance
253,0,pick_meat_0,fetch,cut_with_knife,[],[],False,instance
253,1,place_meat_in_bowl_2,relocate,place_bowl,"[""538:1"",""925:1""]","[""multi_object_sequence"",""relocate""]",True,instance
253,2,pick_tomato_1,fetch,fetch_tomato,[],[],False,instance
253,3,place_tomato_in_bowl_2,relocate,place_tomato,[],[],False,instance
257,0,find_bottle_0,fetch,fetch_bowl,[],[],False,instance
257,1,move_to_rack,,move_to,[],[],,instance
257,2,place_bottle_on_rack,relocate,place_on_plate,[],[],False,instance
265,0,move_to_banana_0,,place_banana,[],[],,instance
265,1,pick_banana_0,fetch,fetch_banana,[],[],False,instance
265,2,move_to_sink_1,,move_to_destination,"[""6451:1"",""6451:4""]","[""relocate""]",,instance
265,3,rinse_banana_0,,fetch_banana,[],[],,instance
265,4,move_to_bowl_0,,place_bowl,[],[],,instance
265,5,place_banana_0_in_bowl_0,relocate,place_banana,[],[],False,instance
270,0,load_bread_into_toaster,relocate,fetch_bread_from_cabinet,[],[],False,instance
