channel,index,test_full_signature,source_train_indices_before_token_trim,injected_whole_source_train_indices,partially_injected_source_train_indices,exemplar_count,pretrim_source_count,partially_injected_source_count,multi_unit_exemplar_count,covering_exemplar_count,has_covering_exemplar,maximum_grounded_plan_trigram_jaccard,flat_success,skill_success,flat_success_skill_failure
instance,49,"{""object_count"":2,""ordered_units"":[""fetch(apple)"",""fetch(pear)"",""relocate(apple,bowl)"",""relocate(pear,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,51,"{""object_count"":1,""ordered_units"":[""fetch(pear)"",""relocate(pear,kitchen work area)""],""plan_length"":5}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,52,"{""object_count"":2,""ordered_units"":[""fetch(knife)"",""fetch(apple)"",""state_change(open,cabinet)"",""relocate(knife,cabinet)"",""relocate(apple,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}","[4514,5101]",[4514],[5101],1,2,1,1,0,False,0.25,False,False,False
instance,53,"{""object_count"":2,""ordered_units"":[""fetch(bowl)"",""state_change(open,cabinet)"",""relocate(bowl,kitchen work area)"",""fetch(apple)"",""open_container_then_retrieve(cabinet,apple)"",""relocate(apple,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}","[6114,3331]",[6114],[3331],1,2,1,1,1,True,1.0,False,False,False
instance,54,"{""object_count"":2,""ordered_units"":[""fetch(plate)"",""fetch(bread)"",""relocate(plate,kitchen island area)"",""relocate(bread,toaster)"",""state_change(interact,toaster)"",""multi_object_sequence(2)""],""plan_length"":6}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,59,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,sink)"",""state_change(interact,sink)"",""fetch(banana)"",""check_then_act(sink,banana)"",""relocate(banana,plate)""],""plan_length"":11}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,61,"{""object_count"":2,""ordered_units"":[""fetch(spoon)"",""fetch(apple)"",""state_change(open,cabinet)"",""relocate(spoon,cabinet)"",""relocate(apple,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,62,"{""object_count"":1,""ordered_units"":[""fetch(tomato)"",""relocate(tomato,sink)"",""state_change(interact,sink)"",""fetch(tomato)"",""check_then_act(sink,tomato)"",""relocate(tomato,plate)""],""plan_length"":11}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,68,"{""object_count"":1,""ordered_units"":[""fetch(pear)"",""fetch(knife)"",""relocate(pear,wooden cutting board)"",""state_change(interact,knife)""],""plan_length"":6}",[198],[],[198],0,1,1,0,0,False,0.0,False,False,False
instance,71,"{""object_count"":2,""ordered_units"":[""fetch(spoon)"",""fetch(pumpkin)"",""state_change(open,cabinet)"",""relocate(spoon,cabinet)"",""relocate(pumpkin,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,73,"{""object_count"":1,""ordered_units"":[""fetch(scissors)"",""relocate(scissors,rack)""],""plan_length"":5}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,76,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,table)""],""plan_length"":5}","[1739,4112,491]","[1739,4112]",[491],2,3,1,2,2,True,1.0,True,False,True
instance,78,"{""object_count"":2,""ordered_units"":[""fetch(knife)"",""fetch(peach)"",""fetch(tomato)"",""relocate(peach,wooden cutting board)"",""relocate(tomato,wooden cutting board)"",""state_change(interact,knife)"",""multi_object_sequence(2)""],""plan_length"":9}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,82,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,table)""],""plan_length"":5}","[1431,1611,3977,4063]","[1431,1611,3977]",[],3,4,0,3,3,True,1.0,True,False,True
instance,84,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,bowl)""],""plan_length"":5}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,85,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,sink)"",""state_change(interact,sink)"",""fetch(peach)"",""check_then_act(sink,peach)"",""relocate(peach,bowl)""],""plan_length"":11}",[1009],[],[1009],0,1,1,0,0,False,0.0,False,False,False
instance,88,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,table)""],""plan_length"":5}","[1161,1682,4267,4960]","[1161,1682,4267]",[],3,4,0,3,3,True,1.0,True,False,True
instance,91,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,kitchen island area)""],""plan_length"":5}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,93,"{""object_count"":0,""ordered_units"":[""state_change(interact,fridge)""],""plan_length"":2}","[172,942]",[172],[],1,2,0,0,1,True,1.0,True,True,False
instance,94,"{""object_count"":2,""ordered_units"":[""fetch(plate)"",""state_change(open,cabinet)"",""relocate(plate,kitchen work area)"",""fetch(banana)"",""open_container_then_retrieve(cabinet,banana)"",""relocate(banana,plate)"",""multi_object_sequence(2)""],""plan_length"":8}","[3536,17]",[3536],[17],1,2,1,1,1,True,1.0,False,False,False
instance,95,"{""object_count"":2,""ordered_units"":[""fetch(apple)"",""fetch(knife)"",""fetch(banana)"",""relocate(apple,wooden cutting board)"",""relocate(banana,wooden cutting board)"",""state_change(interact,knife)"",""multi_object_sequence(2)""],""plan_length"":9}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,115,"{""object_count"":2,""ordered_units"":[""state_change(open,cabinet)"",""fetch(bowl)"",""relocate(bowl,kitchen island area)"",""fetch(bread)"",""open_container_then_retrieve(cabinet,bread)"",""relocate(bread,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}","[369,2859]",[369],[],1,2,0,1,0,False,0.0,False,False,False
instance,118,"{""object_count"":2,""ordered_units"":[""state_change(open,cabinet)"",""fetch(banana)"",""relocate(banana,table)"",""fetch(pear)"",""open_container_then_retrieve(cabinet,pear)"",""relocate(pear,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[58,807]",[58],[807],1,2,1,1,0,False,0.0,False,False,False
instance,121,"{""object_count"":2,""ordered_units"":[""fetch(tomato)"",""state_change(open,cabinet)"",""relocate(tomato,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[184,1458,3195]","[184,1458]",[],2,3,0,2,1,True,1.0,False,False,False
instance,122,"{""object_count"":1,""ordered_units"":[""state_change(push,cardboardbox,R2)"",""fetch(fork)"",""relocate(fork,cardboardbox)"",""state_change(push,cardboardbox,R3)"",""fetch(fork)"",""relocate(fork,sink)""],""plan_length"":7}","[1558,2381]",[1558],[2381],1,2,1,1,1,True,1.0,False,False,False
instance,129,"{""object_count"":2,""ordered_units"":[""fetch(bread)"",""fetch(plate)"",""relocate(bread,toaster)"",""relocate(plate,kitchen island area)"",""state_change(interact,toaster)"",""multi_object_sequence(2)""],""plan_length"":6}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,133,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,sink)"",""state_change(interact,sink)"",""fetch(banana)"",""check_then_act(sink,banana)"",""relocate(banana,bowl)""],""plan_length"":11}",[3096],[],[3096],0,1,1,0,0,False,0.0,False,False,False
instance,134,"{""object_count"":2,""ordered_units"":[""fetch(bread)"",""fetch(plate)"",""relocate(bread,toaster)"",""relocate(plate,kitchen work area)"",""state_change(interact,toaster)"",""multi_object_sequence(2)""],""plan_length"":6}",[],[],[],0,0,0,0,0,False,0.0,True,True,False
instance,136,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,table)""],""plan_length"":5}","[352,903,1311]","[352,903]",[1311],2,3,1,2,2,True,1.0,False,False,False
instance,138,"{""object_count"":2,""ordered_units"":[""fetch(spoon)"",""fetch(peach)"",""state_change(open,cabinet)"",""relocate(spoon,cabinet)"",""relocate(peach,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,145,"{""object_count"":2,""ordered_units"":[""state_change(open,cabinet)"",""fetch(bowl)"",""relocate(bowl,kitchen work area)"",""fetch(apple)"",""open_container_then_retrieve(cabinet,apple)"",""relocate(apple,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}",[2631],[],[2631],0,1,1,0,0,False,0.0,False,False,False
instance,147,"{""object_count"":2,""ordered_units"":[""fetch(bread)"",""fetch(plate)"",""relocate(bread,toaster)"",""relocate(plate,kitchen work area)"",""state_change(interact,toaster)"",""multi_object_sequence(2)""],""plan_length"":6}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,153,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,plate)""],""plan_length"":5}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,161,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,table)""],""plan_length"":5}","[208,264,348,2490]","[208,264,348]",[],3,4,0,3,3,True,1.0,False,False,False
instance,164,"{""object_count"":2,""ordered_units"":[""fetch(tomato)"",""fetch(meat)"",""relocate(tomato,bowl)"",""relocate(meat,bowl)"",""multi_object_sequence(2)""],""plan_length"":5}",[],[],[],0,0,0,0,0,False,0.0,False,True,False
instance,171,"{""object_count"":1,""ordered_units"":[""fetch(knife)"",""fetch(pear)"",""relocate(pear,wooden cutting board)"",""state_change(interact,knife)""],""plan_length"":6}",[105],[],[105],0,1,1,0,0,False,0.0,False,False,False
instance,176,"{""object_count"":2,""ordered_units"":[""fetch(knife)"",""fetch(pear)"",""fetch(tomato)"",""relocate(pear,wooden cutting board)"",""relocate(tomato,wooden cutting board)"",""state_change(interact,knife)"",""multi_object_sequence(2)""],""plan_length"":9}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,177,"{""object_count"":2,""ordered_units"":[""fetch(bread)"",""fetch(plate)"",""relocate(bread,toaster)"",""relocate(plate,kitchen work area)"",""state_change(interact,toaster)"",""multi_object_sequence(2)""],""plan_length"":6}",[],[],[],0,0,0,0,0,False,0.0,False,True,False
instance,179,"{""object_count"":2,""ordered_units"":[""fetch(plate)"",""fetch(bread)"",""relocate(plate,kitchen work area)"",""relocate(bread,toaster)"",""state_change(interact,toaster)"",""multi_object_sequence(2)""],""plan_length"":6}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,187,"{""object_count"":1,""ordered_units"":[""fetch(bread)"",""relocate(bread,plate)""],""plan_length"":5}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,192,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,sink)"",""state_change(interact,sink)"",""fetch(peach)"",""check_then_act(sink,peach)"",""relocate(peach,plate)""],""plan_length"":11}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,193,"{""object_count"":1,""ordered_units"":[""fetch(bottle)"",""relocate(bottle,rack)""],""plan_length"":5}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,197,"{""object_count"":2,""ordered_units"":[""fetch(knife)"",""fetch(peach)"",""state_change(open,cabinet)"",""relocate(knife,cabinet)"",""relocate(peach,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}","[2941,3426]",[2941],[],1,2,0,1,0,False,0.25,False,False,False
instance,202,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,table)""],""plan_length"":5}","[2909,5708,6021]","[2909,5708]",[],2,3,0,2,2,True,1.0,True,False,True
instance,209,"{""object_count"":2,""ordered_units"":[""fetch(spoon)"",""fetch(apple)"",""state_change(open,cabinet)"",""relocate(spoon,cabinet)"",""relocate(apple,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}",[136],[],[136],0,1,1,0,0,False,0.0,False,False,False
instance,222,"{""object_count"":2,""ordered_units"":[""fetch(peach)"",""fetch(knife)"",""fetch(tomato)"",""relocate(peach,wooden cutting board)"",""relocate(tomato,wooden cutting board)"",""state_change(interact,knife)"",""multi_object_sequence(2)""],""plan_length"":9}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,225,"{""object_count"":1,""ordered_units"":[""fetch(cardboardbox)"",""relocate(cardboardbox,kitchen island area)""],""plan_length"":5}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,228,"{""object_count"":1,""ordered_units"":[""state_change(push,cardboardbox,R3)"",""fetch(pumpkin)"",""relocate(pumpkin,cardboardbox)"",""state_change(push,cardboardbox,R1)"",""fetch(pumpkin)"",""relocate(pumpkin,sink)""],""plan_length"":7}","[691,5971]",[691],[5971],1,2,1,1,0,False,0.0,False,False,False
instance,230,"{""object_count"":2,""ordered_units"":[""fetch(pear)"",""fetch(pizza)"",""relocate(pear,plate)"",""relocate(pizza,plate)"",""multi_object_sequence(2)""],""plan_length"":5}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,234,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,sink)"",""state_change(interact,sink)"",""fetch(apple)"",""check_then_act(sink,apple)"",""relocate(apple,plate)""],""plan_length"":11}",[2790],[],[2790],0,1,1,0,0,False,0.0,False,False,False
instance,235,"{""object_count"":2,""ordered_units"":[""state_change(open,cabinet)"",""fetch(tomato)"",""relocate(tomato,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[1681,3921,6461]","[1681,3921]",[],2,3,0,2,1,True,1.0,False,False,False
instance,247,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,sink)"",""state_change(interact,sink)"",""fetch(peach)"",""check_then_act(sink,peach)"",""relocate(peach,plate)""],""plan_length"":11}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,250,"{""object_count"":2,""ordered_units"":[""fetch(tomato)"",""fetch(pumpkin)"",""relocate(tomato,bowl)"",""relocate(pumpkin,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,253,"{""object_count"":2,""ordered_units"":[""fetch(tomato)"",""fetch(meat)"",""relocate(tomato,bowl)"",""relocate(meat,bowl)"",""multi_object_sequence(2)""],""plan_length"":5}",[4653],[],[4653],0,1,1,0,0,False,0.0,False,True,False
instance,257,"{""object_count"":1,""ordered_units"":[""fetch(bottle)"",""relocate(bottle,rack)""],""plan_length"":5}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,265,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,sink)"",""state_change(interact,sink)"",""fetch(banana)"",""check_then_act(sink,banana)"",""relocate(banana,bowl)""],""plan_length"":11}",[190],[],[190],0,1,1,0,0,False,0.0,False,False,False
instance,270,"{""object_count"":2,""ordered_units"":[""fetch(bread)"",""fetch(bowl)"",""relocate(bread,toaster)"",""relocate(bowl,kitchen island area)"",""state_change(interact,toaster)"",""multi_object_sequence(2)""],""plan_length"":6}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,276,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,table)""],""plan_length"":5}","[170,837,1317,1527]","[170,837,1317]",[],3,4,0,3,3,True,1.0,True,False,True
instance,279,"{""object_count"":2,""ordered_units"":[""fetch(apple)"",""fetch(meat)"",""relocate(apple,plate)"",""relocate(meat,plate)"",""multi_object_sequence(2)""],""plan_length"":5}",[],[],[],0,0,0,0,0,False,0.0,True,False,True
instance,282,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,bowl)""],""plan_length"":5}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,291,"{""object_count"":1,""ordered_units"":[""state_change(open,cabinet)"",""fetch(bread)"",""open_container_then_retrieve(cabinet,bread)"",""relocate(bread,plate)""],""plan_length"":8}","[113,407]",[113],[407],1,2,1,1,1,True,1.0,False,False,False
instance,294,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,table)""],""plan_length"":5}","[310,915,3407,5837]","[310,915,3407]",[],3,4,0,3,3,True,1.0,False,False,False
instance,301,"{""object_count"":1,""ordered_units"":[""state_change(open,cabinet)"",""fetch(apple)"",""open_container_then_retrieve(cabinet,apple)"",""relocate(apple,plate)""],""plan_length"":8}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,304,"{""object_count"":0,""ordered_units"":[""state_change(interact,oven)""],""plan_length"":2}","[528,768]",[528],[],1,2,0,0,1,True,1.0,True,True,False
instance,314,"{""object_count"":1,""ordered_units"":[""state_change(open,cabinet)"",""fetch(apple)"",""open_container_then_retrieve(cabinet,apple)"",""relocate(apple,plate)""],""plan_length"":8}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,318,"{""object_count"":2,""ordered_units"":[""fetch(pumpkin)"",""fetch(spoon)"",""state_change(open,cabinet)"",""relocate(pumpkin,cabinet)"",""relocate(spoon,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}","[285,2020]",[285],[2020],1,2,1,1,0,False,0.25,False,False,False
instance,323,"{""object_count"":1,""ordered_units"":[""fetch(knife)"",""fetch(apple)"",""relocate(apple,wooden cutting board)"",""state_change(interact,knife)""],""plan_length"":6}",[9],[],[9],0,1,1,0,0,False,0.0,False,False,False
instance,324,"{""object_count"":2,""ordered_units"":[""fetch(bowl)"",""fetch(bread)"",""relocate(bowl,kitchen island area)"",""relocate(bread,toaster)"",""state_change(interact,toaster)"",""multi_object_sequence(2)""],""plan_length"":6}",[183],[],[183],0,1,1,0,0,False,0.0,False,False,False
instance,329,"{""object_count"":2,""ordered_units"":[""fetch(apple)"",""fetch(knife)"",""state_change(open,cabinet)"",""relocate(apple,cabinet)"",""relocate(knife,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}","[2092,2142]",[2092],[2142],1,2,1,1,0,False,0.25,False,False,False
instance,334,"{""object_count"":2,""ordered_units"":[""fetch(plate)"",""state_change(open,cabinet)"",""relocate(plate,kitchen work area)"",""fetch(bread)"",""open_container_then_retrieve(cabinet,bread)"",""relocate(bread,plate)"",""multi_object_sequence(2)""],""plan_length"":8}","[3441,5437]",[3441],[],1,2,0,1,1,True,1.0,False,False,False
instance,335,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,sink)"",""state_change(interact,sink)"",""fetch(apple)"",""check_then_act(sink,apple)"",""relocate(apple,bowl)""],""plan_length"":11}",[4587],[],[4587],0,1,1,0,0,False,0.0,False,False,False
instance,337,"{""object_count"":2,""ordered_units"":[""fetch(meat)"",""fetch(green peas)"",""relocate(meat,bowl)"",""relocate(green peas,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,340,"{""object_count"":2,""ordered_units"":[""state_change(open,cabinet)"",""fetch(bowl)"",""relocate(bowl,kitchen island area)"",""fetch(apple)"",""open_container_then_retrieve(cabinet,apple)"",""relocate(apple,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}","[3331,3659,4293]","[3331,3659]",[],2,3,0,2,0,False,0.0,False,False,False
instance,349,"{""object_count"":2,""ordered_units"":[""fetch(bowl)"",""fetch(bread)"",""relocate(bowl,kitchen work area)"",""relocate(bread,toaster)"",""state_change(interact,toaster)"",""multi_object_sequence(2)""],""plan_length"":6}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,352,"{""object_count"":2,""ordered_units"":[""fetch(knife)"",""fetch(pear)"",""fetch(tomato)"",""relocate(pear,wooden cutting board)"",""relocate(tomato,wooden cutting board)"",""state_change(interact,knife)"",""multi_object_sequence(2)""],""plan_length"":9}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,370,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,plate)""],""plan_length"":5}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,393,"{""object_count"":1,""ordered_units"":[""fetch(knife)"",""fetch(peach)"",""relocate(peach,wooden cutting board)"",""state_change(interact,knife)""],""plan_length"":6}",[420],[],[420],0,1,1,0,0,False,0.0,False,False,False
instance,395,"{""object_count"":2,""ordered_units"":[""fetch(tomato)"",""fetch(pumpkin)"",""relocate(tomato,plate)"",""relocate(pumpkin,plate)"",""multi_object_sequence(2)""],""plan_length"":5}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,396,"{""object_count"":1,""ordered_units"":[""fetch(bread)"",""relocate(bread,plate)""],""plan_length"":5}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,397,"{""object_count"":2,""ordered_units"":[""fetch(tomato)"",""fetch(fork)"",""state_change(open,cabinet)"",""relocate(tomato,cabinet)"",""relocate(fork,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,400,"{""object_count"":2,""ordered_units"":[""fetch(banana)"",""fetch(green peas)"",""relocate(banana,plate)"",""relocate(green peas,plate)"",""multi_object_sequence(2)""],""plan_length"":8}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,401,"{""object_count"":2,""ordered_units"":[""fetch(pear)"",""fetch(knife)"",""fetch(banana)"",""relocate(pear,wooden cutting board)"",""relocate(banana,wooden cutting board)"",""state_change(interact,knife)"",""multi_object_sequence(2)""],""plan_length"":9}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,405,"{""object_count"":1,""ordered_units"":[""state_change(open,cabinet)"",""fetch(apple)"",""open_container_then_retrieve(cabinet,apple)"",""relocate(apple,bowl)""],""plan_length"":8}",[787],[],[787],0,1,1,0,0,False,0.0,True,False,True
instance,427,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,table)""],""plan_length"":5}","[3627,3712,4324]","[3627,3712]",[],2,3,0,2,2,True,1.0,False,False,False
instance,436,"{""object_count"":2,""ordered_units"":[""fetch(pear)"",""fetch(knife)"",""fetch(bread)"",""relocate(pear,wooden cutting board)"",""relocate(bread,wooden cutting board)"",""state_change(interact,knife)"",""multi_object_sequence(2)""],""plan_length"":9}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,440,"{""object_count"":2,""ordered_units"":[""fetch(peach)"",""fetch(spoon)"",""state_change(open,cabinet)"",""relocate(peach,cabinet)"",""relocate(spoon,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}",[2350],[],[2350],0,1,1,0,0,False,0.0,False,False,False
instance,441,"{""object_count"":0,""ordered_units"":[""state_change(interact,oven)""],""plan_length"":2}","[1959,1979]",[1959],[],1,2,0,0,1,True,1.0,True,True,False
instance,458,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""fetch(knife)"",""relocate(peach,wooden cutting board)"",""state_change(interact,knife)""],""plan_length"":6}",[44],[],[44],0,1,1,0,0,False,0.0,False,False,False
instance,465,"{""object_count"":1,""ordered_units"":[""state_change(open,cabinet)"",""fetch(banana)"",""open_container_then_retrieve(cabinet,banana)"",""relocate(banana,plate)""],""plan_length"":8}",[245],[],[245],0,1,1,0,0,False,0.0,False,False,False
instance,467,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,sink)"",""state_change(interact,sink)"",""fetch(apple)"",""check_then_act(sink,apple)"",""relocate(apple,bowl)""],""plan_length"":11}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,472,"{""object_count"":2,""ordered_units"":[""fetch(pear)"",""fetch(tomato)"",""relocate(pear,bowl)"",""relocate(tomato,bowl)"",""multi_object_sequence(2)""],""plan_length"":5}",[4699],[],[4699],0,1,1,0,0,False,0.0,False,False,False
instance,475,"{""object_count"":2,""ordered_units"":[""fetch(scissors)"",""fetch(bread)"",""state_change(open,cabinet)"",""relocate(scissors,cabinet)"",""relocate(bread,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}","[467,4723]",[467],[],1,2,0,1,0,False,0.25,False,False,False
instance,477,"{""object_count"":1,""ordered_units"":[""fetch(cooling fan)"",""relocate(cooling fan,kitchen island area)""],""plan_length"":5}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
