channel,index,allowed_instance_count_field,allowed_instance_ids_length,allowed_source_count_field,allowed_source_indices_length,allowed_source_min,allowed_source_max
instance,234,3135,3135,627,627,18,7195
instance,235,2618,2618,1141,1141,20,7188
instance,247,3135,3135,627,627,18,7195
instance,250,1206,1206,402,402,0,7184
instance,253,800,800,400,400,27,7191
instance,257,1648,1648,824,824,6,7177
instance,265,3135,3135,627,627,18,7195
instance,270,1218,1218,406,406,8,7176
instance,276,2618,2618,1141,1141,20,7188
instance,279,800,800,400,400,27,7191
instance,282,566,566,283,283,2,7185
instance,291,789,789,263,263,14,7190
instance,294,2618,2618,1141,1141,20,7188
instance,301,789,789,263,263,14,7190
instance,304,319,319,171,171,51,7179
instance,314,789,789,263,263,14,7190
instance,318,1914,1914,631,631,45,7189
instance,323,2265,2265,755,755,7,7194
instance,324,1218,1218,406,406,8,7176
instance,329,1914,1914,631,631,45,7189
instance,334,811,811,235,235,17,7171
instance,335,3135,3135,627,627,18,7195
instance,337,1206,1206,402,402,0,7184
instance,340,811,811,235,235,17,7171
instance,349,1218,1218,406,406,8,7176
instance,352,1564,1564,391,391,1,7193
instance,370,566,566,283,283,2,7185
instance,393,2265,2265,755,755,7,7194
instance,395,800,800,400,400,27,7191
instance,396,566,566,283,283,2,7185
instance,397,1914,1914,631,631,45,7189
instance,400,1206,1206,402,402,0,7184
instance,401,1564,1564,391,391,1,7193
instance,405,789,789,263,263,14,7190
instance,427,2618,2618,1141,1141,20,7188
instance,436,1564,1564,391,391,1,7193
instance,440,1914,1914,631,631,45,7189
instance,441,319,319,171,171,51,7179
instance,458,2265,2265,755,755,7,7194
instance,465,789,789,263,263,14,7190
instance,467,3135,3135,627,627,18,7195
instance,472,800,800,400,400,27,7191
instance,475,1914,1914,631,631,45,7189
instance,477,1648,1648,824,824,6,7177
instance,482,566,566,283,283,2,7185
instance,498,2265,2265,755,755,7,7194
instance,502,1914,1914,631,631,45,7189
instance,503,800,800,400,400,27,7191
instance,512,1914,1914,631,631,45,7189
instance,527,1648,1648,824,824,6,7177
instance,537,2618,2618,1141,1141,20,7188
instance,541,2265,2265,755,755,7,7194
instance,547,2618,2618,1141,1141,20,7188
instance,552,1564,1564,391,391,1,7193
instance,556,1648,1648,824,824,6,7177
instance,559,2618,2618,1141,1141,20,7188
instance,564,811,811,235,235,17,7171
instance,571,2265,2265,755,755,7,7194
instance,572,1218,1218,406,406,8,7176
instance,576,800,800,400,400,27,7191
instance,578,2618,2618,1141,1141,20,7188
instance,580,2618,2618,1141,1141,20,7188
instance,583,2618,2618,1141,1141,20,7188
instance,584,811,811,235,235,17,7171
instance,588,2618,2618,1141,1141,20,7188
instance,591,1648,1648,824,824,6,7177
instance,595,3135,3135,627,627,18,7195
instance,597,789,789,263,263,14,7190
instance,600,1564,1564,391,391,1,7193
instance,602,1914,1914,631,631,45,7189
instance,604,2618,2618,1141,1141,20,7188
instance,607,1218,1218,406,406,8,7176
instance,617,2265,2265,755,755,7,7194
instance,629,2618,2618,1141,1141,20,7188
instance,631,2618,2618,1141,1141,20,7188
instance,633,566,566,283,283,2,7185
instance,635,800,800,400,400,27,7191
instance,637,2618,2618,1141,1141,20,7188
instance,642,2265,2265,755,755,7,7194
instance,654,1564,1564,391,391,1,7193
instance,655,1564,1564,391,391,1,7193
instance,657,1914,1914,631,631,45,7189
instance,658,566,566,283,283,2,7185
instance,659,2618,2618,1141,1141,20,7188
instance,663,2265,2265,755,755,7,7194
instance,677,1564,1564,391,391,1,7193
instance,681,2618,2618,1141,1141,20,7188
instance,684,1206,1206,402,402,0,7184
instance,692,646,646,170,170,4,7159
instance,697,2265,2265,755,755,7,7194
instance,702,1648,1648,824,824,6,7177
instance,706,3135,3135,627,627,18,7195
instance,718,2265,2265,755,755,7,7194
instance,719,2618,2618,1141,1141,20,7188
instance,721,566,566,283,283,2,7185
instance,722,566,566,283,283,2,7185
instance,725,2265,2265,755,755,7,7194
instance,726,1914,1914,631,631,45,7189
instance,730,3135,3135,627,627,18,7195
instance,737,1914,1914,631,631,45,7189
instance,738,3135,3135,627,627,18,7195
instance,742,2618,2618,1141,1141,20,7188
instance,751,800,800,400,400,27,7191
instance,757,2618,2618,1141,1141,20,7188
instance,758,319,319,171,171,51,7179
instance,764,2618,2618,1141,1141,20,7188
instance,768,1648,1648,824,824,6,7177
instance,769,800,800,400,400,27,7191
instance,776,2618,2618,1141,1141,20,7188
instance,783,811,811,235,235,17,7171
instance,790,2618,2618,1141,1141,20,7188
instance,797,2265,2265,755,755,7,7194
instance,801,1564,1564,391,391,1,7193
instance,802,1648,1648,824,824,6,7177
instance,807,800,800,400,400,27,7191
instance,813,2265,2265,755,755,7,7194
instance,817,1206,1206,402,402,0,7184
instance,820,1218,1218,406,406,8,7176
instance,825,2618,2618,1141,1141,20,7188
instance,827,1218,1218,406,406,8,7176
instance,829,3135,3135,627,627,18,7195
instance,836,319,319,171,171,51,7179
instance,849,1914,1914,631,631,45,7189
instance,851,1648,1648,824,824,6,7177
instance,852,1206,1206,402,402,0,7184
instance,859,2618,2618,1141,1141,20,7188
instance,862,800,800,400,400,27,7191
instance,864,2618,2618,1141,1141,20,7188
instance,869,1914,1914,631,631,45,7189
instance,872,2618,2618,1141,1141,20,7188
instance,874,2265,2265,755,755,7,7194
instance,879,2265,2265,755,755,7,7194
instance,881,2265,2265,755,755,7,7194
instance,885,1206,1206,402,402,0,7184
instance,887,1648,1648,824,824,6,7177
instance,890,2265,2265,755,755,7,7194
instance,897,811,811,235,235,17,7171
instance,899,1648,1648,824,824,6,7177
instance,901,2265,2265,755,755,7,7194
instance,903,1914,1914,631,631,45,7189
instance,907,1648,1648,824,824,6,7177
instance,910,1914,1914,631,631,45,7189
instance,921,1206,1206,402,402,0,7184
instance,923,811,811,235,235,17,7171
instance,924,3135,3135,627,627,18,7195
instance,935,2618,2618,1141,1141,20,7188
instance,937,2618,2618,1141,1141,20,7188
instance,946,3135,3135,627,627,18,7195
instance,953,789,789,263,263,14,7190
instance,960,1564,1564,391,391,1,7193
instance,965,2618,2618,1141,1141,20,7188
instance,977,2265,2265,755,755,7,7194
instance,979,2265,2265,755,755,7,7194
instance,984,1914,1914,631,631,45,7189
instance,990,3135,3135,627,627,18,7195
instance,994,566,566,283,283,2,7185
instance,995,800,800,400,400,27,7191
instance,1003,3135,3135,627,627,18,7195
instance,1016,2618,2618,1141,1141,20,7188
instance,1020,1914,1914,631,631,45,7189
instance,1023,1648,1648,824,824,6,7177
instance,1025,2618,2618,1141,1141,20,7188
instance,1027,1564,1564,391,391,1,7193
instance,1035,2618,2618,1141,1141,20,7188
instance,1037,811,811,235,235,17,7171
instance,1038,1648,1648,824,824,6,7177
instance,1051,2265,2265,755,755,7,7194
instance,1052,3135,3135,627,627,18,7195
instance,1053,1914,1914,631,631,45,7189
instance,1057,789,789,263,263,14,7190
instance,1062,566,566,283,283,2,7185
instance,1063,2265,2265,755,755,7,7194
instance,1067,1914,1914,631,631,45,7189
instance,1071,566,566,283,283,2,7185
instance,1079,2265,2265,755,755,7,7194
instance,1081,2618,2618,1141,1141,20,7188
instance,1082,1914,1914,631,631,45,7189
instance,1093,1206,1206,402,402,0,7184
instance,1099,2618,2618,1141,1141,20,7188
instance,1100,1206,1206,402,402,0,7184
instance,1102,3135,3135,627,627,18,7195
instance,1114,1564,1564,391,391,1,7193
instance,1118,789,789,263,263,14,7190
instance,1121,1206,1206,402,402,0,7184
instance,1127,1564,1564,391,391,1,7193
instance,1128,1218,1218,406,406,8,7176
instance,1130,1218,1218,406,406,8,7176
instance,1131,1648,1648,824,824,6,7177
instance,1134,1218,1218,406,406,8,7176
instance,1144,2618,2618,1141,1141,20,7188
instance,1150,3135,3135,627,627,18,7195
instance,1155,1564,1564,391,391,1,7193
instance,1160,2618,2618,1141,1141,20,7188
instance,1169,1648,1648,824,824,6,7177
instance,1170,2618,2618,1141,1141,20,7188
instance,1176,1218,1218,406,406,8,7176
instance,1179,1648,1648,824,824,6,7177
instance,1182,2618,2618,1141,1141,20,7188
instance,1183,1206,1206,402,402,0,7184
instance,1184,1648,1648,824,824,6,7177
instance,1193,1564,1564,391,391,1,7193
instance,1199,1648,1648,824,824,6,7177
instance,1200,1564,1564,391,391,1,7193
instance,1217,1648,1648,824,824,6,7177
instance,1222,566,566,283,283,2,7185
instance,1225,1218,1218,406,406,8,7176
instance,1227,2265,2265,755,755,7,7194
instance,1236,811,811,235,235,17,7171
instance,1237,789,789,263,263,14,7190
instance,1240,1648,1648,824,824,6,7177
instance,1243,2618,2618,1141,1141,20,7188
instance,1245,319,319,171,171,51,7179
instance,1246,789,789,263,263,14,7190
instance,1247,2265,2265,755,755,7,7194
instance,1251,2618,2618,1141,1141,20,7188
instance,1259,1648,1648,824,824,6,7177
instance,1262,789,789,263,263,14,7190
instance,1265,2265,2265,755,755,7,7194
instance,1266,1648,1648,824,824,6,7177
instance,1270,1206,1206,402,402,0,7184
instance,1284,2618,2618,1141,1141,20,7188
instance,1294,1564,1564,391,391,1,7193
instance,1296,2618,2618,1141,1141,20,7188
instance,1298,1648,1648,824,824,6,7177
instance,1302,3135,3135,627,627,18,7195
instance,1304,811,811,235,235,17,7171
instance,1307,1914,1914,631,631,45,7189
instance,1310,1648,1648,824,824,6,7177
instance,1313,811,811,235,235,17,7171
instance,1318,566,566,283,283,2,7185
instance,1319,3135,3135,627,627,18,7195
instance,1326,1648,1648,824,824,6,7177
instance,1329,1648,1648,824,824,6,7177
instance,1341,3135,3135,627,627,18,7195
instance,1342,1914,1914,631,631,45,7189
instance,1344,3135,3135,627,627,18,7195
instance,1345,811,811,235,235,17,7171
instance,1346,2618,2618,1141,1141,20,7188
instance,1353,2618,2618,1141,1141,20,7188
instance,1357,1564,1564,391,391,1,7193
instance,1359,811,811,235,235,17,7171
instance,1360,1648,1648,824,824,6,7177
instance,1365,2265,2265,755,755,7,7194
instance,1367,3135,3135,627,627,18,7195
instance,1371,319,319,171,171,51,7179
instance,1381,789,789,263,263,14,7190
instance,1383,2265,2265,755,755,7,7194
instance,1387,2265,2265,755,755,7,7194
instance,1398,1564,1564,391,391,1,7193
instance,1401,1218,1218,406,406,8,7176
instance,1403,2265,2265,755,755,7,7194
instance,1408,2618,2618,1141,1141,20,7188
instance,1421,1206,1206,402,402,0,7184
instance,1429,2618,2618,1141,1141,20,7188
instance,1430,3135,3135,627,627,18,7195
instance,1438,566,566,283,283,2,7185
instance,1444,1914,1914,631,631,45,7189
instance,1445,2618,2618,1141,1141,20,7188
instance,1447,1914,1914,631,631,45,7189
instance,1454,1648,1648,824,824,6,7177
instance,1460,2618,2618,1141,1141,20,7188
instance,1462,1648,1648,824,824,6,7177
instance,1467,646,646,170,170,4,7159
instance,1469,3135,3135,627,627,18,7195
instance,1470,2265,2265,755,755,7,7194
instance,1474,1648,1648,824,824,6,7177
instance,1477,2265,2265,755,755,7,7194
instance,1478,1206,1206,402,402,0,7184
instance,1480,566,566,283,283,2,7185
instance,1482,2618,2618,1141,1141,20,7188
instance,1484,1564,1564,391,391,1,7193
instance,1500,1206,1206,402,402,0,7184
instance,1501,3135,3135,627,627,18,7195
instance,1507,2265,2265,755,755,7,7194
instance,1509,811,811,235,235,17,7171
instance,1510,1914,1914,631,631,45,7189
instance,1513,1648,1648,824,824,6,7177
instance,1531,2618,2618,1141,1141,20,7188
instance,1539,800,800,400,400,27,7191
instance,1540,1648,1648,824,824,6,7177
instance,1544,789,789,263,263,14,7190
instance,1549,1218,1218,406,406,8,7176
instance,1554,1914,1914,631,631,45,7189
instance,1558,789,789,263,263,14,7190
instance,1564,1648,1648,824,824,6,7177
instance,1569,646,646,170,170,4,7159
instance,1570,1914,1914,631,631,45,7189
instance,1575,1206,1206,402,402,0,7184
instance,1578,1914,1914,631,631,45,7189
instance,1579,1564,1564,391,391,1,7193
instance,1581,3135,3135,627,627,18,7195
instance,1582,789,789,263,263,14,7190
instance,1583,2265,2265,755,755,7,7194
instance,1589,1218,1218,406,406,8,7176
instance,1594,1914,1914,631,631,45,7189
instance,1595,789,789,263,263,14,7190
instance,1600,1218,1218,406,406,8,7176
instance,1606,789,789,263,263,14,7190
instance,1608,566,566,283,283,2,7185
instance,1615,2618,2618,1141,1141,20,7188
instance,1619,566,566,283,283,2,7185
instance,1621,1648,1648,824,824,6,7177
instance,1623,3135,3135,627,627,18,7195
instance,1625,566,566,283,283,2,7185
instance,1627,2618,2618,1141,1141,20,7188
instance,1630,2265,2265,755,755,7,7194
instance,1634,646,646,170,170,4,7159
instance,1635,1564,1564,391,391,1,7193
instance,1643,1564,1564,391,391,1,7193
instance,1644,2265,2265,755,755,7,7194
instance,1652,1648,1648,824,824,6,7177
instance,1653,566,566,283,283,2,7185
instance,1654,2265,2265,755,755,7,7194
instance,1671,1564,1564,391,391,1,7193
instance,1673,1206,1206,402,402,0,7184
instance,1677,1914,1914,631,631,45,7189
instance,1685,811,811,235,235,17,7171
instance,1689,800,800,400,400,27,7191
instance,1691,1648,1648,824,824,6,7177
instance,1693,1914,1914,631,631,45,7189
instance,1713,3135,3135,627,627,18,7195
instance,1718,2618,2618,1141,1141,20,7188
instance,1729,2618,2618,1141,1141,20,7188
instance,1736,1914,1914,631,631,45,7189
instance,1740,646,646,170,170,4,7159
instance,1741,2265,2265,755,755,7,7194
instance,1743,2265,2265,755,755,7,7194
instance,1746,1206,1206,402,402,0,7184
instance,1750,2265,2265,755,755,7,7194
instance,1751,1914,1914,631,631,45,7189
instance,1753,1914,1914,631,631,45,7189
instance,1755,2265,2265,755,755,7,7194
instance,1756,1648,1648,824,824,6,7177
instance,1763,800,800,400,400,27,7191
instance,1784,1218,1218,406,406,8,7176
instance,1788,1648,1648,824,824,6,7177
instance,1789,566,566,283,283,2,7185
instance,1790,3135,3135,627,627,18,7195
instance,1793,3135,3135,627,627,18,7195
instance,1797,811,811,235,235,17,7171
productivity,0,10359,10359,4993,4993,0,7195
productivity,4,10359,10359,4993,4993,0,7195
productivity,6,10359,10359,4993,4993,0,7195
productivity,16,10359,10359,4993,4993,0,7195
productivity,19,10359,10359,4993,4993,0,7195
productivity,24,10359,10359,4993,4993,0,7195
productivity,25,10359,10359,4993,4993,0,7195
productivity,36,10359,10359,4993,4993,0,7195
productivity,42,10359,10359,4993,4993,0,7195
productivity,48,10359,10359,4993,4993,0,7195
productivity,58,10359,10359,4993,4993,0,7195
productivity,60,10359,10359,4993,4993,0,7195
productivity,64,10359,10359,4993,4993,0,7195
productivity,66,10359,10359,4993,4993,0,7195
productivity,69,10359,10359,4993,4993,0,7195
productivity,70,10359,10359,4993,4993,0,7195
productivity,73,10359,10359,4993,4993,0,7195
productivity,74,10359,10359,4993,4993,0,7195
productivity,76,10359,10359,4993,4993,0,7195
productivity,83,10359,10359,4993,4993,0,7195
productivity,84,10359,10359,4993,4993,0,7195
productivity,88,10359,10359,4993,4993,0,7195
productivity,91,10359,10359,4993,4993,0,7195
productivity,102,10359,10359,4993,4993,0,7195
productivity,106,10359,10359,4993,4993,0,7195
productivity,109,10359,10359,4993,4993,0,7195
productivity,122,10359,10359,4993,4993,0,7195
productivity,130,10359,10359,4993,4993,0,7195
productivity,139,10359,10359,4993,4993,0,7195
productivity,143,10359,10359,4993,4993,0,7195
productivity,150,10359,10359,4993,4993,0,7195
productivity,155,10359,10359,4993,4993,0,7195
productivity,160,10359,10359,4993,4993,0,7195
productivity,161,10359,10359,4993,4993,0,7195
productivity,162,10359,10359,4993,4993,0,7195
productivity,171,10359,10359,4993,4993,0,7195
productivity,174,10359,10359,4993,4993,0,7195
productivity,190,10359,10359,4993,4993,0,7195
productivity,191,10359,10359,4993,4993,0,7195
productivity,193,10359,10359,4993,4993,0,7195
productivity,195,10359,10359,4993,4993,0,7195
productivity,201,10359,10359,4993,4993,0,7195
productivity,203,10359,10359,4993,4993,0,7195
productivity,204,10359,10359,4993,4993,0,7195
productivity,210,10359,10359,4993,4993,0,7195
productivity,220,10359,10359,4993,4993,0,7195
productivity,225,10359,10359,4993,4993,0,7195
productivity,228,10359,10359,4993,4993,0,7195
productivity,229,10359,10359,4993,4993,0,7195
productivity,233,10359,10359,4993,4993,0,7195
productivity,238,10359,10359,4993,4993,0,7195
productivity,240,10359,10359,4993,4993,0,7195
productivity,248,10359,10359,4993,4993,0,7195
productivity,252,10359,10359,4993,4993,0,7195
productivity,256,10359,10359,4993,4993,0,7195
productivity,257,10359,10359,4993,4993,0,7195
productivity,258,10359,10359,4993,4993,0,7195
productivity,263,10359,10359,4993,4993,0,7195
productivity,266,10359,10359,4993,4993,0,7195
productivity,282,10359,10359,4993,4993,0,7195
productivity,284,10359,10359,4993,4993,0,7195
productivity,296,10359,10359,4993,4993,0,7195
productivity,306,10359,10359,4993,4993,0,7195
productivity,320,10359,10359,4993,4993,0,7195
productivity,327,10359,10359,4993,4993,0,7195
productivity,331,10359,10359,4993,4993,0,7195
productivity,336,10359,10359,4993,4993,0,7195
productivity,338,10359,10359,4993,4993,0,7195
productivity,341,10359,10359,4993,4993,0,7195
productivity,344,10359,10359,4993,4993,0,7195
productivity,347,10359,10359,4993,4993,0,7195
productivity,350,10359,10359,4993,4993,0,7195
productivity,354,10359,10359,4993,4993,0,7195
productivity,355,10359,10359,4993,4993,0,7195
productivity,357,10359,10359,4993,4993,0,7195
productivity,365,10359,10359,4993,4993,0,7195
productivity,366,10359,10359,4993,4993,0,7195
productivity,369,10359,10359,4993,4993,0,7195
productivity,375,10359,10359,4993,4993,0,7195
productivity,376,10359,10359,4993,4993,0,7195
productivity,379,10359,10359,4993,4993,0,7195
productivity,380,10359,10359,4993,4993,0,7195
productivity,384,10359,10359,4993,4993,0,7195
productivity,390,10359,10359,4993,4993,0,7195
productivity,396,10359,10359,4993,4993,0,7195
productivity,403,10359,10359,4993,4993,0,7195
productivity,408,10359,10359,4993,4993,0,7195
productivity,414,10359,10359,4993,4993,0,7195
productivity,421,10359,10359,4993,4993,0,7195
productivity,425,10359,10359,4993,4993,0,7195
productivity,430,10359,10359,4993,4993,0,7195
productivity,431,10359,10359,4993,4993,0,7195
productivity,432,10359,10359,4993,4993,0,7195
productivity,435,10359,10359,4993,4993,0,7195
productivity,447,10359,10359,4993,4993,0,7195
productivity,448,10359,10359,4993,4993,0,7195
productivity,457,10359,10359,4993,4993,0,7195
productivity,469,10359,10359,4993,4993,0,7195
productivity,474,10359,10359,4993,4993,0,7195
productivity,477,10359,10359,4993,4993,0,7195
productivity,484,10359,10359,4993,4993,0,7195
productivity,487,10359,10359,4993,4993,0,7195
productivity,491,10359,10359,4993,4993,0,7195
productivity,498,10359,10359,4993,4993,0,7195
productivity,499,10359,10359,4993,4993,0,7195
productivity,508,10359,10359,4993,4993,0,7195
productivity,514,10359,10359,4993,4993,0,7195
productivity,516,10359,10359,4993,4993,0,7195
productivity,527,10359,10359,4993,4993,0,7195
productivity,541,10359,10359,4993,4993,0,7195
productivity,547,10359,10359,4993,4993,0,7195
productivity,553,10359,10359,4993,4993,0,7195
productivity,556,10359,10359,4993,4993,0,7195
productivity,557,10359,10359,4993,4993,0,7195
productivity,560,10359,10359,4993,4993,0,7195
productivity,563,10359,10359,4993,4993,0,7195
productivity,568,10359,10359,4993,4993,0,7195
productivity,580,10359,10359,4993,4993,0,7195
productivity,587,10359,10359,4993,4993,0,7195
productivity,591,10359,10359,4993,4993,0,7195
productivity,603,10359,10359,4993,4993,0,7195
productivity,604,10359,10359,4993,4993,0,7195
productivity,609,10359,10359,4993,4993,0,7195
productivity,614,10359,10359,4993,4993,0,7195
productivity,616,10359,10359,4993,4993,0,7195
productivity,621,10359,10359,4993,4993,0,7195
productivity,624,10359,10359,4993,4993,0,7195
productivity,625,10359,10359,4993,4993,0,7195
productivity,629,10359,10359,4993,4993,0,7195
productivity,630,10359,10359,4993,4993,0,7195
productivity,636,10359,10359,4993,4993,0,7195
productivity,637,10359,10359,4993,4993,0,7195
productivity,648,10359,10359,4993,4993,0,7195
productivity,653,10359,10359,4993,4993,0,7195
productivity,659,10359,10359,4993,4993,0,7195
productivity,663,10359,10359,4993,4993,0,7195
productivity,664,10359,10359,4993,4993,0,7195
productivity,665,10359,10359,4993,4993,0,7195
productivity,666,10359,10359,4993,4993,0,7195
productivity,667,10359,10359,4993,4993,0,7195
productivity,668,10359,10359,4993,4993,0,7195
productivity,670,10359,10359,4993,4993,0,7195
productivity,673,10359,10359,4993,4993,0,7195
productivity,675,10359,10359,4993,4993,0,7195
productivity,676,10359,10359,4993,4993,0,7195
productivity,681,10359,10359,4993,4993,0,7195
productivity,698,10359,10359,4993,4993,0,7195
productivity,702,10359,10359,4993,4993,0,7195
productivity,703,10359,10359,4993,4993,0,7195
productivity,719,10359,10359,4993,4993,0,7195
productivity,722,10359,10359,4993,4993,0,7195
productivity,729,10359,10359,4993,4993,0,7195
productivity,732,10359,10359,4993,4993,0,7195
productivity,734,10359,10359,4993,4993,0,7195
productivity,750,10359,10359,4993,4993,0,7195
productivity,752,10359,10359,4993,4993,0,7195
productivity,754,10359,10359,4993,4993,0,7195
productivity,755,10359,10359,4993,4993,0,7195
productivity,756,10359,10359,4993,4993,0,7195
productivity,759,10359,10359,4993,4993,0,7195
productivity,765,10359,10359,4993,4993,0,7195
productivity,768,10359,10359,4993,4993,0,7195
productivity,780,10359,10359,4993,4993,0,7195
productivity,789,10359,10359,4993,4993,0,7195
productivity,794,10359,10359,4993,4993,0,7195
productivity,797,10359,10359,4993,4993,0,7195
productivity,799,10359,10359,4993,4993,0,7195
productivity,802,10359,10359,4993,4993,0,7195
productivity,804,10359,10359,4993,4993,0,7195
productivity,811,10359,10359,4993,4993,0,7195
productivity,814,10359,10359,4993,4993,0,7195
productivity,821,10359,10359,4993,4993,0,7195
productivity,823,10359,10359,4993,4993,0,7195
productivity,835,10359,10359,4993,4993,0,7195
productivity,844,10359,10359,4993,4993,0,7195
productivity,850,10359,10359,4993,4993,0,7195
productivity,851,10359,10359,4993,4993,0,7195
productivity,854,10359,10359,4993,4993,0,7195
productivity,855,10359,10359,4993,4993,0,7195
productivity,858,10359,10359,4993,4993,0,7195
productivity,861,10359,10359,4993,4993,0,7195
productivity,863,10359,10359,4993,4993,0,7195
productivity,874,10359,10359,4993,4993,0,7195
productivity,879,10359,10359,4993,4993,0,7195
productivity,882,10359,10359,4993,4993,0,7195
productivity,883,10359,10359,4993,4993,0,7195
productivity,890,10359,10359,4993,4993,0,7195
productivity,896,10359,10359,4993,4993,0,7195
productivity,901,10359,10359,4993,4993,0,7195
productivity,907,10359,10359,4993,4993,0,7195
productivity,914,10359,10359,4993,4993,0,7195
productivity,917,10359,10359,4993,4993,0,7195
productivity,918,10359,10359,4993,4993,0,7195
productivity,919,10359,10359,4993,4993,0,7195
productivity,920,10359,10359,4993,4993,0,7195
productivity,922,10359,10359,4993,4993,0,7195
productivity,934,10359,10359,4993,4993,0,7195
productivity,935,10359,10359,4993,4993,0,7195
productivity,936,10359,10359,4993,4993,0,7195
productivity,937,10359,10359,4993,4993,0,7195
productivity,938,10359,10359,4993,4993,0,7195
productivity,940,10359,10359,4993,4993,0,7195
productivity,944,10359,10359,4993,4993,0,7195
productivity,951,10359,10359,4993,4993,0,7195
productivity,957,10359,10359,4993,4993,0,7195
productivity,969,10359,10359,4993,4993,0,7195
productivity,971,10359,10359,4993,4993,0,7195
productivity,979,10359,10359,4993,4993,0,7195
productivity,980,10359,10359,4993,4993,0,7195
productivity,991,10359,10359,4993,4993,0,7195
productivity,992,10359,10359,4993,4993,0,7195
productivity,993,10359,10359,4993,4993,0,7195
productivity,994,10359,10359,4993,4993,0,7195
productivity,1006,10359,10359,4993,4993,0,7195
productivity,1008,10359,10359,4993,4993,0,7195
productivity,1011,10359,10359,4993,4993,0,7195
productivity,1016,10359,10359,4993,4993,0,7195
productivity,1025,10359,10359,4993,4993,0,7195
productivity,1031,10359,10359,4993,4993,0,7195
productivity,1033,10359,10359,4993,4993,0,7195
productivity,1035,10359,10359,4993,4993,0,7195
productivity,1039,10359,10359,4993,4993,0,7195
productivity,1043,10359,10359,4993,4993,0,7195
productivity,1047,10359,10359,4993,4993,0,7195
productivity,1049,10359,10359,4993,4993,0,7195
productivity,1051,10359,10359,4993,4993,0,7195
productivity,1056,10359,10359,4993,4993,0,7195
productivity,1058,10359,10359,4993,4993,0,7195
productivity,1062,10359,10359,4993,4993,0,7195
productivity,1063,10359,10359,4993,4993,0,7195
productivity,1071,10359,10359,4993,4993,0,7195
productivity,1072,10359,10359,4993,4993,0,7195
productivity,1073,10359,10359,4993,4993,0,7195
productivity,1077,10359,10359,4993,4993,0,7195
productivity,1079,10359,10359,4993,4993,0,7195
productivity,1086,10359,10359,4993,4993,0,7195
productivity,1090,10359,10359,4993,4993,0,7195
productivity,1103,10359,10359,4993,4993,0,7195
productivity,1106,10359,10359,4993,4993,0,7195
productivity,1111,10359,10359,4993,4993,0,7195
productivity,1112,10359,10359,4993,4993,0,7195
productivity,1115,10359,10359,4993,4993,0,7195
productivity,1117,10359,10359,4993,4993,0,7195
productivity,1123,10359,10359,4993,4993,0,7195
productivity,1131,10359,10359,4993,4993,0,7195
productivity,1132,10359,10359,4993,4993,0,7195
productivity,1133,10359,10359,4993,4993,0,7195
productivity,1139,10359,10359,4993,4993,0,7195
