channel,index,exemplar_rank,source_train_index,source_full_signature,source_ordered_units,source_unit_kinds,source_is_multi_unit,covers_test_full_signature,grounded_plan_trigram_jaccard
instance,121,1,184,"{""object_count"":2,""ordered_units"":[""state_change(open,cabinet)"",""fetch(tomato)"",""relocate(tomato,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[""state_change(open,cabinet)"",""fetch(tomato)"",""relocate(tomato,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""]","[""state_change"",""fetch"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,False,0.0
instance,121,2,1458,"{""object_count"":2,""ordered_units"":[""fetch(tomato)"",""state_change(open,cabinet)"",""relocate(tomato,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch(tomato)"",""state_change(open,cabinet)"",""relocate(tomato,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,True,1.0
instance,122,1,1558,"{""object_count"":1,""ordered_units"":[""state_change(push,cardboardbox,R2)"",""fetch(fork)"",""relocate(fork,cardboardbox)"",""state_change(push,cardboardbox,R3)"",""fetch(fork)"",""relocate(fork,sink)""],""plan_length"":7}","[""state_change(push,cardboardbox,R2)"",""fetch(fork)"",""relocate(fork,cardboardbox)"",""state_change(push,cardboardbox,R3)"",""fetch(fork)"",""relocate(fork,sink)""]","[""state_change"",""fetch"",""relocate"",""state_change"",""fetch"",""relocate""]",True,True,1.0
instance,136,1,352,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,table)""],""plan_length"":5}","[""fetch(apple)"",""relocate(apple,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,136,2,903,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,table)""],""plan_length"":5}","[""fetch(apple)"",""relocate(apple,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,161,1,208,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,table)""],""plan_length"":5}","[""fetch(peach)"",""relocate(peach,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,161,2,264,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,table)""],""plan_length"":5}","[""fetch(peach)"",""relocate(peach,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,161,3,348,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,table)""],""plan_length"":5}","[""fetch(peach)"",""relocate(peach,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,197,1,2941,"{""object_count"":2,""ordered_units"":[""fetch(peach)"",""fetch(knife)"",""state_change(open,cabinet)"",""relocate(peach,cabinet)"",""relocate(knife,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}","[""fetch(peach)"",""fetch(knife)"",""state_change(open,cabinet)"",""relocate(peach,cabinet)"",""relocate(knife,cabinet)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""state_change"",""relocate"",""relocate"",""multi_object_sequence""]",True,False,0.25
instance,202,1,2909,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,table)""],""plan_length"":5}","[""fetch(banana)"",""relocate(banana,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,202,2,5708,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,table)""],""plan_length"":5}","[""fetch(banana)"",""relocate(banana,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,228,1,691,"{""object_count"":1,""ordered_units"":[""fetch(pumpkin)"",""state_change(push,cardboardbox,R1)"",""relocate(pumpkin,cardboardbox)"",""state_change(push,cardboardbox,R3)"",""fetch(pumpkin)"",""relocate(pumpkin,sink)""],""plan_length"":7}","[""fetch(pumpkin)"",""state_change(push,cardboardbox,R1)"",""relocate(pumpkin,cardboardbox)"",""state_change(push,cardboardbox,R3)"",""fetch(pumpkin)"",""relocate(pumpkin,sink)""]","[""fetch"",""state_change"",""relocate"",""state_change"",""fetch"",""relocate""]",True,False,0.0
instance,235,1,1681,"{""object_count"":2,""ordered_units"":[""state_change(open,cabinet)"",""fetch(tomato)"",""relocate(tomato,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[""state_change(open,cabinet)"",""fetch(tomato)"",""relocate(tomato,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""]","[""state_change"",""fetch"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,True,1.0
instance,235,2,3921,"{""object_count"":2,""ordered_units"":[""fetch(tomato)"",""state_change(open,cabinet)"",""relocate(tomato,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch(tomato)"",""state_change(open,cabinet)"",""relocate(tomato,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,False,0.0
instance,276,1,170,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,table)""],""plan_length"":5}","[""fetch(banana)"",""relocate(banana,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,276,2,837,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,table)""],""plan_length"":5}","[""fetch(banana)"",""relocate(banana,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,276,3,1317,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,table)""],""plan_length"":5}","[""fetch(banana)"",""relocate(banana,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,291,1,113,"{""object_count"":1,""ordered_units"":[""state_change(open,cabinet)"",""fetch(bread)"",""open_container_then_retrieve(cabinet,bread)"",""relocate(bread,plate)""],""plan_length"":8}","[""state_change(open,cabinet)"",""fetch(bread)"",""open_container_then_retrieve(cabinet,bread)"",""relocate(bread,plate)""]","[""state_change"",""fetch"",""open_container_then_retrieve"",""relocate""]",True,True,1.0
instance,294,1,310,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,table)""],""plan_length"":5}","[""fetch(apple)"",""relocate(apple,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,294,2,915,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,table)""],""plan_length"":5}","[""fetch(apple)"",""relocate(apple,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,294,3,3407,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,table)""],""plan_length"":5}","[""fetch(apple)"",""relocate(apple,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,304,1,528,"{""object_count"":0,""ordered_units"":[""state_change(interact,oven)""],""plan_length"":2}","[""state_change(interact,oven)""]","[""state_change""]",False,True,1.0
instance,318,1,285,"{""object_count"":2,""ordered_units"":[""fetch(spoon)"",""fetch(pumpkin)"",""state_change(open,cabinet)"",""relocate(spoon,cabinet)"",""relocate(pumpkin,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}","[""fetch(spoon)"",""fetch(pumpkin)"",""state_change(open,cabinet)"",""relocate(spoon,cabinet)"",""relocate(pumpkin,cabinet)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""state_change"",""relocate"",""relocate"",""multi_object_sequence""]",True,False,0.25
instance,329,1,2092,"{""object_count"":2,""ordered_units"":[""fetch(knife)"",""fetch(apple)"",""state_change(open,cabinet)"",""relocate(knife,cabinet)"",""relocate(apple,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}","[""fetch(knife)"",""fetch(apple)"",""state_change(open,cabinet)"",""relocate(knife,cabinet)"",""relocate(apple,cabinet)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""state_change"",""relocate"",""relocate"",""multi_object_sequence""]",True,False,0.25
instance,334,1,3441,"{""object_count"":2,""ordered_units"":[""fetch(plate)"",""state_change(open,cabinet)"",""relocate(plate,kitchen work area)"",""fetch(bread)"",""open_container_then_retrieve(cabinet,bread)"",""relocate(bread,plate)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch(plate)"",""state_change(open,cabinet)"",""relocate(plate,kitchen work area)"",""fetch(bread)"",""open_container_then_retrieve(cabinet,bread)"",""relocate(bread,plate)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,True,1.0
instance,340,1,3331,"{""object_count"":2,""ordered_units"":[""fetch(bowl)"",""state_change(open,cabinet)"",""relocate(bowl,kitchen island area)"",""fetch(apple)"",""open_container_then_retrieve(cabinet,apple)"",""relocate(apple,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch(bowl)"",""state_change(open,cabinet)"",""relocate(bowl,kitchen island area)"",""fetch(apple)"",""open_container_then_retrieve(cabinet,apple)"",""relocate(apple,bowl)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,False,0.0
instance,340,2,3659,"{""object_count"":2,""ordered_units"":[""fetch(bowl)"",""state_change(open,cabinet)"",""relocate(bowl,kitchen island area)"",""fetch(apple)"",""open_container_then_retrieve(cabinet,apple)"",""relocate(apple,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch(bowl)"",""state_change(open,cabinet)"",""relocate(bowl,kitchen island area)"",""fetch(apple)"",""open_container_then_retrieve(cabinet,apple)"",""relocate(apple,bowl)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,False,0.0
instance,427,1,3627,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,table)""],""plan_length"":5}","[""fetch(peach)"",""relocate(peach,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,427,2,3712,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,table)""],""plan_length"":5}","[""fetch(peach)"",""relocate(peach,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,441,1,1959,"{""object_count"":0,""ordered_units"":[""state_change(interact,oven)""],""plan_length"":2}","[""state_change(interact,oven)""]","[""state_change""]",False,True,1.0
instance,475,1,467,"{""object_count"":2,""ordered_units"":[""fetch(bread)"",""fetch(scissors)"",""state_change(open,cabinet)"",""relocate(bread,cabinet)"",""relocate(scissors,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}","[""fetch(bread)"",""fetch(scissors)"",""state_change(open,cabinet)"",""relocate(bread,cabinet)"",""relocate(scissors,cabinet)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""state_change"",""relocate"",""relocate"",""multi_object_sequence""]",True,False,0.25
instance,503,1,632,"{""object_count"":2,""ordered_units"":[""fetch(bread)"",""fetch(pizza)"",""relocate(bread,bowl)"",""relocate(pizza,bowl)"",""multi_object_sequence(2)""],""plan_length"":5}","[""fetch(bread)"",""fetch(pizza)"",""relocate(bread,bowl)"",""relocate(pizza,bowl)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""relocate"",""relocate"",""multi_object_sequence""]",True,False,0.14285714285714285
instance,512,1,1606,"{""object_count"":2,""ordered_units"":[""fetch(pumpkin)"",""fetch(fork)"",""state_change(open,cabinet)"",""relocate(pumpkin,cabinet)"",""relocate(fork,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}","[""fetch(pumpkin)"",""fetch(fork)"",""state_change(open,cabinet)"",""relocate(pumpkin,cabinet)"",""relocate(fork,cabinet)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""state_change"",""relocate"",""relocate"",""multi_object_sequence""]",True,True,1.0
instance,537,1,602,"{""object_count"":2,""ordered_units"":[""fetch(banana)"",""state_change(open,cabinet)"",""relocate(banana,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch(banana)"",""state_change(open,cabinet)"",""relocate(banana,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,False,0.0
instance,547,1,383,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,table)""],""plan_length"":5}","[""fetch(apple)"",""relocate(apple,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,547,2,1045,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,table)""],""plan_length"":5}","[""fetch(apple)"",""relocate(apple,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,547,3,2760,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,table)""],""plan_length"":5}","[""fetch(apple)"",""relocate(apple,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,559,1,5137,"{""object_count"":2,""ordered_units"":[""fetch(tomato)"",""state_change(open,cabinet)"",""relocate(tomato,table)"",""fetch(apple)"",""open_container_then_retrieve(cabinet,apple)"",""relocate(apple,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch(tomato)"",""state_change(open,cabinet)"",""relocate(tomato,table)"",""fetch(apple)"",""open_container_then_retrieve(cabinet,apple)"",""relocate(apple,table)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,False,0.0
instance,564,1,6706,"{""object_count"":2,""ordered_units"":[""fetch(bowl)"",""state_change(open,cabinet)"",""relocate(bowl,kitchen island area)"",""fetch(tomato)"",""open_container_then_retrieve(cabinet,tomato)"",""relocate(tomato,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch(bowl)"",""state_change(open,cabinet)"",""relocate(bowl,kitchen island area)"",""fetch(tomato)"",""open_container_then_retrieve(cabinet,tomato)"",""relocate(tomato,bowl)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,False,0.0
instance,578,1,5067,"{""object_count"":2,""ordered_units"":[""state_change(open,cabinet)"",""fetch(tomato)"",""relocate(tomato,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[""state_change(open,cabinet)"",""fetch(tomato)"",""relocate(tomato,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""]","[""state_change"",""fetch"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,False,0.0
instance,580,1,491,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,table)""],""plan_length"":5}","[""fetch(peach)"",""relocate(peach,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,580,2,2085,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,table)""],""plan_length"":5}","[""fetch(peach)"",""relocate(peach,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,583,1,1060,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,table)""],""plan_length"":5}","[""fetch(peach)"",""relocate(peach,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,583,2,1619,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,table)""],""plan_length"":5}","[""fetch(peach)"",""relocate(peach,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,583,3,2196,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,table)""],""plan_length"":5}","[""fetch(peach)"",""relocate(peach,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,584,1,2257,"{""object_count"":2,""ordered_units"":[""fetch(plate)"",""state_change(open,cabinet)"",""relocate(plate,kitchen work area)"",""fetch(apple)"",""open_container_then_retrieve(cabinet,apple)"",""relocate(apple,plate)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch(plate)"",""state_change(open,cabinet)"",""relocate(plate,kitchen work area)"",""fetch(apple)"",""open_container_then_retrieve(cabinet,apple)"",""relocate(apple,plate)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,False,0.375
instance,588,1,108,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,table)""],""plan_length"":5}","[""fetch(banana)"",""relocate(banana,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,588,2,203,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,table)""],""plan_length"":5}","[""fetch(banana)"",""relocate(banana,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,588,3,1263,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,table)""],""plan_length"":5}","[""fetch(banana)"",""relocate(banana,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,602,1,733,"{""object_count"":2,""ordered_units"":[""fetch(bread)"",""fetch(fork)"",""state_change(open,cabinet)"",""relocate(bread,cabinet)"",""relocate(fork,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}","[""fetch(bread)"",""fetch(fork)"",""state_change(open,cabinet)"",""relocate(bread,cabinet)"",""relocate(fork,cabinet)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""state_change"",""relocate"",""relocate"",""multi_object_sequence""]",True,False,0.0
instance,604,1,1119,"{""object_count"":1,""ordered_units"":[""fetch(tomato)"",""relocate(tomato,table)""],""plan_length"":5}","[""fetch(tomato)"",""relocate(tomato,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,604,2,1630,"{""object_count"":1,""ordered_units"":[""fetch(tomato)"",""relocate(tomato,table)""],""plan_length"":5}","[""fetch(tomato)"",""relocate(tomato,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,604,3,2111,"{""object_count"":1,""ordered_units"":[""fetch(tomato)"",""relocate(tomato,table)""],""plan_length"":5}","[""fetch(tomato)"",""relocate(tomato,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,629,1,1016,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,table)""],""plan_length"":5}","[""fetch(peach)"",""relocate(peach,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,629,2,2334,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,table)""],""plan_length"":5}","[""fetch(peach)"",""relocate(peach,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,629,3,3220,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,table)""],""plan_length"":5}","[""fetch(peach)"",""relocate(peach,table)""]","[""fetch"",""relocate""]",True,True,1.0
