index,rank,instance_id,segment_render_sha256,skill_render_sha256,byte_identical
354,5,4177:0,67db028bf36a95cdd91cc23b621aeec77353b36720fb96b198d9ee32e88ec888,67db028bf36a95cdd91cc23b621aeec77353b36720fb96b198d9ee32e88ec888,True
354,6,4177:1,a985d7c428edfbce4b51c11aaa748605771f97ad3ec356ade099adbcacc5300a,a985d7c428edfbce4b51c11aaa748605771f97ad3ec356ade099adbcacc5300a,True
376,1,137:1,8c5029e4b18792c9ac851a5d956a5ff5d8d14d8525ab3bb420409931787021e7,8c5029e4b18792c9ac851a5d956a5ff5d8d14d8525ab3bb420409931787021e7,True
376,2,137:2,ad614553303c83bf459f874844ef5c128c02b3b81724ad32ffd76504ba1f9d18,ad614553303c83bf459f874844ef5c128c02b3b81724ad32ffd76504ba1f9d18,True
376,3,1385:1,8c5029e4b18792c9ac851a5d956a5ff5d8d14d8525ab3bb420409931787021e7,8c5029e4b18792c9ac851a5d956a5ff5d8d14d8525ab3bb420409931787021e7,True
376,4,1385:2,ad614553303c83bf459f874844ef5c128c02b3b81724ad32ffd76504ba1f9d18,ad614553303c83bf459f874844ef5c128c02b3b81724ad32ffd76504ba1f9d18,True
376,5,191:1,252b4265030f2c09334453b7c766a2d917069f2fe5640e66345c25345002c378,252b4265030f2c09334453b7c766a2d917069f2fe5640e66345c25345002c378,True
376,6,191:2,8e771841e623fe16ac63c7cc59967f5a6e8d61866aeddee486b7136b180bc900,8e771841e623fe16ac63c7cc59967f5a6e8d61866aeddee486b7136b180bc900,True
430,1,1171:1,fe29aff8d7564c484a284f0343f9fde7fe9b9ce46bef38569e5f5243e11dce6f,fe29aff8d7564c484a284f0343f9fde7fe9b9ce46bef38569e5f5243e11dce6f,True
430,2,1171:2,da7b6d75b30286fe70dc89abd503c6d6f1feaea321b5d820c73e93f587979898,da7b6d75b30286fe70dc89abd503c6d6f1feaea321b5d820c73e93f587979898,True
430,3,1295:1,1f217c485c08cb7da6391802cc2295474b9038df047ceb9440d8bc8ff704c6c0,1f217c485c08cb7da6391802cc2295474b9038df047ceb9440d8bc8ff704c6c0,True
430,4,1295:2,09cb376f7b113b79b01c53995a54fd9df9065104b82df6a1bff117d1925c3a83,09cb376f7b113b79b01c53995a54fd9df9065104b82df6a1bff117d1925c3a83,True
430,5,1525:1,fe29aff8d7564c484a284f0343f9fde7fe9b9ce46bef38569e5f5243e11dce6f,fe29aff8d7564c484a284f0343f9fde7fe9b9ce46bef38569e5f5243e11dce6f,True
430,6,1525:2,da7b6d75b30286fe70dc89abd503c6d6f1feaea321b5d820c73e93f587979898,da7b6d75b30286fe70dc89abd503c6d6f1feaea321b5d820c73e93f587979898,True
487,1,691:2,4a85eda81f46c48aafcbcd0fcb46680db8029371f63970d71414be5b01005586,4a85eda81f46c48aafcbcd0fcb46680db8029371f63970d71414be5b01005586,True
487,2,691:3,af0ba88b2d4ddfc687cdfacedda0d0d138e649e46fcf51232ae41becf6d17cd2,af0ba88b2d4ddfc687cdfacedda0d0d138e649e46fcf51232ae41becf6d17cd2,True
487,3,4049:1,2a59b0e90582a86fdc048f3a68a7b916439be69c6d661e977caad3f7dac4b113,2a59b0e90582a86fdc048f3a68a7b916439be69c6d661e977caad3f7dac4b113,True
487,4,5:2,d8e0d088b9c854a6955c0d18f14be360ac0543ad13d92b569f7bb143363b76c2,d8e0d088b9c854a6955c0d18f14be360ac0543ad13d92b569f7bb143363b76c2,True
487,5,5:3,22538d40ccc310bf46b52e336d53e799b40fb27dca9c693eb7f5d4a64206a234,22538d40ccc310bf46b52e336d53e799b40fb27dca9c693eb7f5d4a64206a234,True
487,6,6455:2,686f8afb7c8fddcc12e5784b791e92ac14c3e0bdbe862559761ce38fd3c7e338,686f8afb7c8fddcc12e5784b791e92ac14c3e0bdbe862559761ce38fd3c7e338,True
541,1,142:1,d90809c780a62cffa23a87a51644031d438c0de7dff47a6d705a7e314ae5d093,d90809c780a62cffa23a87a51644031d438c0de7dff47a6d705a7e314ae5d093,True
541,2,142:2,0c90e7430c660029e848fcb19d5d384044b509ae3a08f27399b25ae0f483fa47,0c90e7430c660029e848fcb19d5d384044b509ae3a08f27399b25ae0f483fa47,True
541,3,1587:1,d90809c780a62cffa23a87a51644031d438c0de7dff47a6d705a7e314ae5d093,d90809c780a62cffa23a87a51644031d438c0de7dff47a6d705a7e314ae5d093,True
541,4,1587:2,0c90e7430c660029e848fcb19d5d384044b509ae3a08f27399b25ae0f483fa47,0c90e7430c660029e848fcb19d5d384044b509ae3a08f27399b25ae0f483fa47,True
541,5,1952:1,d90809c780a62cffa23a87a51644031d438c0de7dff47a6d705a7e314ae5d093,d90809c780a62cffa23a87a51644031d438c0de7dff47a6d705a7e314ae5d093,True
541,6,1952:2,0c90e7430c660029e848fcb19d5d384044b509ae3a08f27399b25ae0f483fa47,0c90e7430c660029e848fcb19d5d384044b509ae3a08f27399b25ae0f483fa47,True
637,1,1450:0,e5de0219e028d931ae2ed869df3f5ee158c3af8d0f60bae21f968b79b7944a53,e5de0219e028d931ae2ed869df3f5ee158c3af8d0f60bae21f968b79b7944a53,True
637,2,1450:1,7daa41e89253e72d969a74a54e7c80e9070e57284de3b5d744e73e3be30435c7,7daa41e89253e72d969a74a54e7c80e9070e57284de3b5d744e73e3be30435c7,True
637,3,2739:0,e5de0219e028d931ae2ed869df3f5ee158c3af8d0f60bae21f968b79b7944a53,e5de0219e028d931ae2ed869df3f5ee158c3af8d0f60bae21f968b79b7944a53,True
637,4,2739:1,7daa41e89253e72d969a74a54e7c80e9070e57284de3b5d744e73e3be30435c7,7daa41e89253e72d969a74a54e7c80e9070e57284de3b5d744e73e3be30435c7,True
637,5,4033:0,e5de0219e028d931ae2ed869df3f5ee158c3af8d0f60bae21f968b79b7944a53,e5de0219e028d931ae2ed869df3f5ee158c3af8d0f60bae21f968b79b7944a53,True
637,6,4033:1,7daa41e89253e72d969a74a54e7c80e9070e57284de3b5d744e73e3be30435c7,7daa41e89253e72d969a74a54e7c80e9070e57284de3b5d744e73e3be30435c7,True
919,1,1438:0,ad10876f9a9ed809d879668a06ac1dbbe3544f2632fb0af7832b3bd5dd492496,ad10876f9a9ed809d879668a06ac1dbbe3544f2632fb0af7832b3bd5dd492496,True
919,2,1438:1,1efd0ad4b579ca66b777d224803a7e51270c5b17ae709cbb916a968c67c14a19,1efd0ad4b579ca66b777d224803a7e51270c5b17ae709cbb916a968c67c14a19,True
919,3,1449:0,ad10876f9a9ed809d879668a06ac1dbbe3544f2632fb0af7832b3bd5dd492496,ad10876f9a9ed809d879668a06ac1dbbe3544f2632fb0af7832b3bd5dd492496,True
919,4,1449:1,1efd0ad4b579ca66b777d224803a7e51270c5b17ae709cbb916a968c67c14a19,1efd0ad4b579ca66b777d224803a7e51270c5b17ae709cbb916a968c67c14a19,True
919,5,1937:0,ad10876f9a9ed809d879668a06ac1dbbe3544f2632fb0af7832b3bd5dd492496,ad10876f9a9ed809d879668a06ac1dbbe3544f2632fb0af7832b3bd5dd492496,True
919,6,1937:1,1efd0ad4b579ca66b777d224803a7e51270c5b17ae709cbb916a968c67c14a19,1efd0ad4b579ca66b777d224803a7e51270c5b17ae709cbb916a968c67c14a19,True
980,1,1171:1,fe29aff8d7564c484a284f0343f9fde7fe9b9ce46bef38569e5f5243e11dce6f,fe29aff8d7564c484a284f0343f9fde7fe9b9ce46bef38569e5f5243e11dce6f,True
980,2,1171:2,da7b6d75b30286fe70dc89abd503c6d6f1feaea321b5d820c73e93f587979898,da7b6d75b30286fe70dc89abd503c6d6f1feaea321b5d820c73e93f587979898,True
980,3,1295:1,1f217c485c08cb7da6391802cc2295474b9038df047ceb9440d8bc8ff704c6c0,1f217c485c08cb7da6391802cc2295474b9038df047ceb9440d8bc8ff704c6c0,True
980,4,1295:2,09cb376f7b113b79b01c53995a54fd9df9065104b82df6a1bff117d1925c3a83,09cb376f7b113b79b01c53995a54fd9df9065104b82df6a1bff117d1925c3a83,True
980,5,1525:1,fe29aff8d7564c484a284f0343f9fde7fe9b9ce46bef38569e5f5243e11dce6f,fe29aff8d7564c484a284f0343f9fde7fe9b9ce46bef38569e5f5243e11dce6f,True
980,6,1525:2,da7b6d75b30286fe70dc89abd503c6d6f1feaea321b5d820c73e93f587979898,da7b6d75b30286fe70dc89abd503c6d6f1feaea321b5d820c73e93f587979898,True
1006,1,1848:0,910fc7f80392042b038bf04f1406ff73cab6f7b3dc83f54a84340ead99022a91,910fc7f80392042b038bf04f1406ff73cab6f7b3dc83f54a84340ead99022a91,True
1006,2,1848:1,fc6cb35d4be419daf9de4d22c5cb0ea4b258aeb8e13275d252fb44ae9f22bf8a,fc6cb35d4be419daf9de4d22c5cb0ea4b258aeb8e13275d252fb44ae9f22bf8a,True
1006,3,2031:0,1feb5c51e9a42656e13b08f587514920069b1881f9cbd640e3e240c6d0631661,1feb5c51e9a42656e13b08f587514920069b1881f9cbd640e3e240c6d0631661,True
1006,4,2031:1,09cdff5bb4c4115c5f82528f79339be4dd476159a86e48311ef162422f8eb305,09cdff5bb4c4115c5f82528f79339be4dd476159a86e48311ef162422f8eb305,True
1006,5,2126:0,1feb5c51e9a42656e13b08f587514920069b1881f9cbd640e3e240c6d0631661,1feb5c51e9a42656e13b08f587514920069b1881f9cbd640e3e240c6d0631661,True
1006,6,2126:1,09cdff5bb4c4115c5f82528f79339be4dd476159a86e48311ef162422f8eb305,09cdff5bb4c4115c5f82528f79339be4dd476159a86e48311ef162422f8eb305,True
1115,1,1305:0,c32cd5bc377de2aa31b05f5a83a983b0a12bfe4cc7f970eda28d248a907b3229,c32cd5bc377de2aa31b05f5a83a983b0a12bfe4cc7f970eda28d248a907b3229,True
1115,2,1305:1,bfb9abbcf278b72bbd730cf13c5869bee7484e8b3fac422b3ca6fa216be1948e,bfb9abbcf278b72bbd730cf13c5869bee7484e8b3fac422b3ca6fa216be1948e,True
1115,3,1436:0,c32cd5bc377de2aa31b05f5a83a983b0a12bfe4cc7f970eda28d248a907b3229,c32cd5bc377de2aa31b05f5a83a983b0a12bfe4cc7f970eda28d248a907b3229,True
1115,4,1436:1,bfb9abbcf278b72bbd730cf13c5869bee7484e8b3fac422b3ca6fa216be1948e,bfb9abbcf278b72bbd730cf13c5869bee7484e8b3fac422b3ca6fa216be1948e,True
1115,5,160:0,c32cd5bc377de2aa31b05f5a83a983b0a12bfe4cc7f970eda28d248a907b3229,c32cd5bc377de2aa31b05f5a83a983b0a12bfe4cc7f970eda28d248a907b3229,True
1115,6,160:1,bfb9abbcf278b72bbd730cf13c5869bee7484e8b3fac422b3ca6fa216be1948e,bfb9abbcf278b72bbd730cf13c5869bee7484e8b3fac422b3ca6fa216be1948e,True
1133,1,1971:0,67db028bf36a95cdd91cc23b621aeec77353b36720fb96b198d9ee32e88ec888,67db028bf36a95cdd91cc23b621aeec77353b36720fb96b198d9ee32e88ec888,True
1133,2,1971:1,a985d7c428edfbce4b51c11aaa748605771f97ad3ec356ade099adbcacc5300a,a985d7c428edfbce4b51c11aaa748605771f97ad3ec356ade099adbcacc5300a,True
1133,3,2646:0,67db028bf36a95cdd91cc23b621aeec77353b36720fb96b198d9ee32e88ec888,67db028bf36a95cdd91cc23b621aeec77353b36720fb96b198d9ee32e88ec888,True
1133,4,2646:1,a985d7c428edfbce4b51c11aaa748605771f97ad3ec356ade099adbcacc5300a,a985d7c428edfbce4b51c11aaa748605771f97ad3ec356ade099adbcacc5300a,True
1133,5,4177:0,67db028bf36a95cdd91cc23b621aeec77353b36720fb96b198d9ee32e88ec888,67db028bf36a95cdd91cc23b621aeec77353b36720fb96b198d9ee32e88ec888,True
1133,6,4177:1,a985d7c428edfbce4b51c11aaa748605771f97ad3ec356ade099adbcacc5300a,a985d7c428edfbce4b51c11aaa748605771f97ad3ec356ade099adbcacc5300a,True
1358,1,6273:2,1e871b437e4ca9544fc653becf73fd5a3dc97bcd8af14b4bdd5f3243d49d2904,1e871b437e4ca9544fc653becf73fd5a3dc97bcd8af14b4bdd5f3243d49d2904,True
1358,2,6273:3,a6f770702d235e71a2bf614c82cd00a3053c9f8d9b522cd4030133b0cb18942b,a6f770702d235e71a2bf614c82cd00a3053c9f8d9b522cd4030133b0cb18942b,True
1358,3,534:2,d7dcc5fe3ba283a881e35cc72314ec360e7e5f7cd930299393808875f8c892a2,d7dcc5fe3ba283a881e35cc72314ec360e7e5f7cd930299393808875f8c892a2,True
1358,4,534:3,782846fd661438b90e57ff786f0d6648e8f7bd013241a5b37a1ea2de25fa08fc,782846fd661438b90e57ff786f0d6648e8f7bd013241a5b37a1ea2de25fa08fc,True
1358,5,5120:2,8ac0916dc935ed1cd5418c60e98cdf45a312f065bc51e11ba0554b6ee435c376,8ac0916dc935ed1cd5418c60e98cdf45a312f065bc51e11ba0554b6ee435c376,True
1358,6,5120:3,5a64edc9ac2d95dabbfd5a56870a7ad636bc2b1e3916cf8f9f98dcb051ac8039,5a64edc9ac2d95dabbfd5a56870a7ad636bc2b1e3916cf8f9f98dcb051ac8039,True
1404,1,2643:2,ef519a85e0db14f6751a37943053cdda706bd6101f3fbd8d174b86c0fa00c2fd,ef519a85e0db14f6751a37943053cdda706bd6101f3fbd8d174b86c0fa00c2fd,True
1404,2,2643:3,f716eab021fe1751c6867e76489b5b413ce65975777f63c3d25a335a62926268,f716eab021fe1751c6867e76489b5b413ce65975777f63c3d25a335a62926268,True
1404,3,3355:2,9fce132018d7456385820454e8bffd99c870f711f3ae676c5d6be41b4ede348f,9fce132018d7456385820454e8bffd99c870f711f3ae676c5d6be41b4ede348f,True
1404,4,3355:3,3659b296163ffeac698b2a6dd6e2798fafbe1f85c17f862154f400e2c8b84ed9,3659b296163ffeac698b2a6dd6e2798fafbe1f85c17f862154f400e2c8b84ed9,True
1404,5,5964:2,7a02172ab6ae9ca65accfb401fa2a9bbe09852d93a006725b7104d4fa453cdd6,7a02172ab6ae9ca65accfb401fa2a9bbe09852d93a006725b7104d4fa453cdd6,True
1404,6,5964:3,be82cc3bc3366d5d2776f3d53c5713dea1efe1e03a308312d0ac892325bc255e,be82cc3bc3366d5d2776f3d53c5713dea1efe1e03a308312d0ac892325bc255e,True
1437,1,1450:0,e5de0219e028d931ae2ed869df3f5ee158c3af8d0f60bae21f968b79b7944a53,e5de0219e028d931ae2ed869df3f5ee158c3af8d0f60bae21f968b79b7944a53,True
1437,2,1450:1,7daa41e89253e72d969a74a54e7c80e9070e57284de3b5d744e73e3be30435c7,7daa41e89253e72d969a74a54e7c80e9070e57284de3b5d744e73e3be30435c7,True
1437,3,2739:0,e5de0219e028d931ae2ed869df3f5ee158c3af8d0f60bae21f968b79b7944a53,e5de0219e028d931ae2ed869df3f5ee158c3af8d0f60bae21f968b79b7944a53,True
1437,4,2739:1,7daa41e89253e72d969a74a54e7c80e9070e57284de3b5d744e73e3be30435c7,7daa41e89253e72d969a74a54e7c80e9070e57284de3b5d744e73e3be30435c7,True
1437,5,4033:0,e5de0219e028d931ae2ed869df3f5ee158c3af8d0f60bae21f968b79b7944a53,e5de0219e028d931ae2ed869df3f5ee158c3af8d0f60bae21f968b79b7944a53,True
1437,6,4033:1,7daa41e89253e72d969a74a54e7c80e9070e57284de3b5d744e73e3be30435c7,7daa41e89253e72d969a74a54e7c80e9070e57284de3b5d744e73e3be30435c7,True
1462,1,1012:0,365008b15d93b97a87c2adb22b6228ea368f1b16d3f4595b88bb849456ea5313,365008b15d93b97a87c2adb22b6228ea368f1b16d3f4595b88bb849456ea5313,True
1462,2,1012:1,b6ec7f421295567d1ea83f10e23b9419961fd006155cf24bace32d2c7e46f564,b6ec7f421295567d1ea83f10e23b9419961fd006155cf24bace32d2c7e46f564,True
1462,3,37:0,bfe74c2f02ae51ff628b217fb7b8bcc5b49e0d2b1f9b7565d23555a4fb5afbbb,bfe74c2f02ae51ff628b217fb7b8bcc5b49e0d2b1f9b7565d23555a4fb5afbbb,True
1462,4,37:1,ada34dff6d26578d6ddf6a14647ef4de2dff7ece881385e6e6f4c1a5dd81dc62,ada34dff6d26578d6ddf6a14647ef4de2dff7ece881385e6e6f4c1a5dd81dc62,True
1462,5,3568:0,742ac51d6367d0f2d4afa69e61845ab16acb216dbb59ad382afe4bb4a0565b98,742ac51d6367d0f2d4afa69e61845ab16acb216dbb59ad382afe4bb4a0565b98,True
1462,6,3568:1,70329a87bf2c0391f919a087fdeb91f8b0f208bef96a4330c13d2e4c4bbabd2c,70329a87bf2c0391f919a087fdeb91f8b0f208bef96a4330c13d2e4c4bbabd2c,True
1602,1,4137:0,6b0f68b38147f79eb7d3c23d6f67619e7531337ffab2a5ff93fe74ed4ddacb09,6b0f68b38147f79eb7d3c23d6f67619e7531337ffab2a5ff93fe74ed4ddacb09,True
1602,2,4137:1,c7aae8086dca1f4fa2087290a157dc96f03aa46fa3f95f61b3366566a0b43e72,c7aae8086dca1f4fa2087290a157dc96f03aa46fa3f95f61b3366566a0b43e72,True
1602,3,7020:0,5a9002ab2471d7ba0d7c7e13ee10dd3fa3f925e5bc50087dc2b63d6a04839512,5a9002ab2471d7ba0d7c7e13ee10dd3fa3f925e5bc50087dc2b63d6a04839512,True
1602,4,7020:1,5eb653831c1d4c7d9e59b58c94215b096e63c9a92bd1dc9d242a8a8acd7f21ca,5eb653831c1d4c7d9e59b58c94215b096e63c9a92bd1dc9d242a8a8acd7f21ca,True
1602,5,1655:0,8e3c9a8bcc1ae1b1d682209818fa3f53e050a565cd4486506cadf8ecd80e6b68,8e3c9a8bcc1ae1b1d682209818fa3f53e050a565cd4486506cadf8ecd80e6b68,True
1602,6,1655:1,d7ea1527944cd60967464b7293a69dca456aaf04f3b25be722ed721eb77e4966,d7ea1527944cd60967464b7293a69dca456aaf04f3b25be722ed721eb77e4966,True
1717,1,1808:0,9af7ab3a22199a1f64e36d77c51a2ea691e627fbc81add8b905cadc9c66d41aa,9af7ab3a22199a1f64e36d77c51a2ea691e627fbc81add8b905cadc9c66d41aa,True
1717,2,1808:2,25c459708b297bf74044b7b914417f134381263df8c5ebee421efc6000221445,25c459708b297bf74044b7b914417f134381263df8c5ebee421efc6000221445,True
1717,3,1194:0,ab1a5dd5190078de48ce4f9e3a8ff118212e8af8b0925cab7bfbd6d4f68630fd,ab1a5dd5190078de48ce4f9e3a8ff118212e8af8b0925cab7bfbd6d4f68630fd,True
1717,4,1194:1,bab0286fcbf0fa8299687674d743d9996b98080f28d10ad449f553da45dd4405,bab0286fcbf0fa8299687674d743d9996b98080f28d10ad449f553da45dd4405,True
1717,5,1283:0,ab1a5dd5190078de48ce4f9e3a8ff118212e8af8b0925cab7bfbd6d4f68630fd,ab1a5dd5190078de48ce4f9e3a8ff118212e8af8b0925cab7bfbd6d4f68630fd,True
1717,6,1283:1,bab0286fcbf0fa8299687674d743d9996b98080f28d10ad449f553da45dd4405,bab0286fcbf0fa8299687674d743d9996b98080f28d10ad449f553da45dd4405,True
1741,1,1126:1,6453e6257bb6db2a073b2011f5d96f96025b5c126c1432cc4bb7730a79a54917,6453e6257bb6db2a073b2011f5d96f96025b5c126c1432cc4bb7730a79a54917,True
1741,2,1126:2,ed2ee5f2da2bbb2273164067be9f888e85a1b902a1c76b61fb2137ba322fbb17,ed2ee5f2da2bbb2273164067be9f888e85a1b902a1c76b61fb2137ba322fbb17,True
1741,3,1426:1,49e8bd8d4767262561b32fc47b60756c7a65d3d31df5295214756d28cc0a85b0,49e8bd8d4767262561b32fc47b60756c7a65d3d31df5295214756d28cc0a85b0,True
1741,4,1426:2,9f71a5308343f93bad3b59f44420c048644e031aa1e8157a2b96bb161b3289b7,9f71a5308343f93bad3b59f44420c048644e031aa1e8157a2b96bb161b3289b7,True
1741,5,2227:1,49e8bd8d4767262561b32fc47b60756c7a65d3d31df5295214756d28cc0a85b0,49e8bd8d4767262561b32fc47b60756c7a65d3d31df5295214756d28cc0a85b0,True
1741,6,2227:2,9f71a5308343f93bad3b59f44420c048644e031aa1e8157a2b96bb161b3289b7,9f71a5308343f93bad3b59f44420c048644e031aa1e8157a2b96bb161b3289b7,True
